Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"38,65 %","103,29","47,12 %",-,-,-,-,-,-,"72,16 %",-,"3,7 %",-,"74,03 %",18,-
jegallardoga,apajaromerla,"114,94 %","151,92","82,27 %",-,-,-,-,-,-,-,-,"0,1 %",-,"96,21 %",5,-
jegallardoga,aschmidtfern,"118,22 %","172,33","76,93 %",-,-,-,-,-,-,-,-,"0,29 %",0 %,"98,37 %",7,-
jegallardoga,bmatoscastro,"129,29 %","170,1","82,6 %",-,-,-,-,-,-,-,-,0 %,20 %,"96,22 %",6,-
jegallardoga,cpintoarruza,"92,73 %","131,82","83,3 %",-,-,-,-,-,-,-,-,"1,64 %",-,"95,7 %",9,-
jegallardoga,ext_ailynrod,"60,99 %","76,03","74,9 %",-,-,-,-,-,-,-,-,"0,22 %",-,"96,81 %",14,-
jegallardoga,ext_arieandr,"110,68 %","144,74","82,46 %",-,-,-,-,-,-,-,-,"2,35 %",0 %,"88,8 %",3,-
jegallardoga,ext_conrocha,"106,73 %","143,48","83,2 %",-,-,-,-,-,-,-,-,"1,83 %",0 %,"92,56 %",13,-
jegallardoga,ext_consaez,"73,34 %","106,68","81,31 %",-,-,-,-,-,-,-,-,"3,77 %",0 %,"100,16 %",8,-
jegallardoga,ext_criarria,"103,25 %","123,24","81,09 %",-,-,-,-,-,-,-,-,"1,14 %",100 %,"92,95 %",10,-
jegallardoga,ext_crmtorre,"84,62 %","117,97","81,72 %",-,-,-,-,-,-,-,-,"1,82 %",0 %,"92,5 %",6,-
jegallardoga,ext_crsaldia,"123,54 %","159,25","88,89 %",-,-,-,-,-,-,-,-,"3,57 %","66,67 %","97,46 %",4,-
jegallardoga,ext_fujavier,"103,33 %","161,23","84,75 %",-,-,-,-,-,-,-,-,"2,67 %",0 %,"90,89 %",4,-
jegallardoga,ext_hugvasqu,"150,48 %","168,91","85,74 %",-,-,-,-,-,-,-,-,"0,17 %",-,"95,51 %",7,-
jegallardoga,ext_iaaranda,"87,66 %","106,17","82,86 %",-,-,-,-,-,-,-,-,"0,69 %",0 %,"97,5 %",7,-
jegallardoga,ext_jearriaz,"36,1 %","83,72","40,78 %",-,-,-,-,-,-,"54,64 %",-,0 %,-,"56,42 %",8,-
jegallardoga,ext_jheespin,"74,39 %","96,13","77,67 %",-,-,-,-,-,-,-,-,"4,15 %",0 %,"91,56 %",5,0
jegallardoga,ext_maagullo,"81,61 %","107,03","81,32 %",-,-,-,-,-,-,-,-,"0,56 %",-,"96,57 %",10,-
jegallardoga,ext_nanyespi,"110,14 %","165,12","87,35 %",-,-,-,-,-,-,-,-,"1,9 %","14,29 %","93,78 %",5,-
jegallardoga,ext_nicoyarz,"80,24 %","102,47","84,72 %",-,-,-,-,-,-,-,-,"3,3 %",-,-,-,-
jegallardoga,ext_pocornej,"60,79 %","70,86","78,52 %",-,-,-,-,-,-,-,-,"4,25 %",100 %,"95,27 %",8,-
jegallardoga,ext_sagalaz,"96,86 %","113,14",87 %,-,-,-,-,-,-,-,-,"1,73 %",-,"95,82 %",5,-
jegallardoga,ext_sebastfa,"85,77 %","96,41","79,47 %",-,-,-,-,-,-,-,-,"1,61 %",0 %,"95,22 %",6,-
jegallardoga,ext_solcabez,"69,12 %","93,02","75,73 %",-,-,-,-,-,-,-,-,"4,37 %",-,"93,64 %",5,-
jegallardoga,ext_toralfre,"112,03 %","154,29","78,78 %",-,-,-,-,-,-,-,-,0 %,0 %,"91,89 %",6,-
jegallardoga,fmartinmanci,"111,23 %","115,42","91,15 %",-,-,-,-,-,-,-,-,"1,11 %",-,"94,68 %",8,-
jegallardoga,fsepulvedami,"109,9 %","178,22","73,52 %",-,-,-,-,-,-,-,-,"8,57 %",-,"95,49 %",5,-
jegallardoga,halvarezaran,93 %,"130,28","77,77 %",-,-,-,-,-,-,"74,58 %",-,0 %,-,"66,17 %",12,-
jegallardoga,irodriguezdo,"124,06 %","160,47","86,16 %",-,-,-,-,-,-,-,-,0 %,0 %,"90,81 %",9,-
jegallardoga,jniriancurih,"153,87 %","237,86","91,88 %",-,-,-,-,-,-,-,-,"0,06 %",0 %,"92,97 %",8,-
jegallardoga,kcollaolazza,"142,17 %","216,94","70,03 %",-,-,-,-,-,-,-,-,0 %,-,"96,02 %",5,-
jegallardoga,mcasosdiaz,"109,97 %","167,05","77,46 %",-,-,-,-,-,-,-,-,"0,23 %",-,"99,6 %",0,-
jegallardoga,mlouisor,"113,68 %","90,19","80,16 %",-,-,-,-,-,-,-,-,0 %,100 %,"75,92 %",9,-
jegallardoga,ngabelocamil,"98,49 %","149,15","80,71 %",-,-,-,-,-,-,-,-,"3,58 %",0 %,"88,33 %",26,-
jegallardoga,ogandarillas,"133,09 %","191,67","74,2 %",-,-,-,-,-,-,-,-,0 %,0 %,"99,14 %",7,-
