Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"89,68 %","115,15","84,21 %",-,-,-,-,-,-,-,-,"0,29 %",-,"96,04 %",5,-
jegallardoga,apajaromerla,"111,76 %","167,32","84,74 %",-,-,-,-,-,-,-,-,"1,61 %",-,"100,48 %",5,-
jegallardoga,aschmidtfern,155 %,"202,49","81,6 %",-,-,-,-,-,-,-,-,0 %,-,"90,75 %",8,-
jegallardoga,bmatoscastro,"124,73 %","159,41","83,85 %",-,-,-,-,-,-,-,-,"0,43 %",-,"92,86 %",3,-
jegallardoga,crojashidalg,"166,64 %","111,47","93,23 %",-,-,-,-,-,-,-,-,0 %,-,"75,37 %",0,-
jegallardoga,ext_ailynrod,"107,84 %","89,33","74,14 %",-,-,-,-,-,-,-,-,"0,4 %",-,"100,77 %",9,-
jegallardoga,ext_arieandr,"108,11 %","149,11","83,54 %",-,-,-,-,-,-,-,-,"1,03 %",0 %,"97,01 %",5,0
jegallardoga,ext_beavello,"119,48 %","125,13","72,23 %",-,-,-,-,-,-,-,-,"1,9 %",-,"101,33 %",12,-
jegallardoga,ext_conrocha,"136,91 %","130,09","81,61 %",-,-,-,-,-,-,-,-,"1,35 %",-,"102,24 %",7,-
jegallardoga,ext_consaez,"103,81 %",96,"80,82 %",-,-,-,-,-,-,-,-,"3,06 %",-,"104,74 %",6,-
jegallardoga,ext_criarria,"90,42 %","129,13","78,35 %",-,-,-,-,-,-,-,-,"2,15 %",-,"91,52 %",10,-
jegallardoga,ext_crmtorre,"103,06 %","145,21","76,67 %",-,-,-,-,-,-,-,-,0 %,-,"94,65 %",6,-
jegallardoga,ext_crsaldia,"128,66 %","127,82","80,78 %",-,-,-,-,-,-,-,-,"0,59 %",-,"103,78 %",3,-
jegallardoga,ext_fujavier,"103,26 %","145,05","88,04 %",-,-,-,-,-,-,-,-,"2,12 %",-,"84,53 %",5,-
