Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,apajaromerla,"90,71 %","140,79","81,88 %",-,-,-,-,-,-,-,-,"1,05 %",0 %,"94,62 %",8,-
jegallardoga,bmatoscastro,"111,81 %","131,17","85,66 %",-,-,-,-,-,-,-,-,"1,02 %",0 %,"100,65 %",8,-
jegallardoga,cpintoarruza,"117,02 %","147,79","81,47 %",-,-,-,-,-,-,-,-,"0,43 %",-,-,8,-
jegallardoga,crojashidalg,"138,55 %","97,94","91,67 %",-,-,-,-,-,-,-,-,0 %,-,"72,21 %",10,-
jegallardoga,ext_arieandr,"89,22 %","131,26","87,21 %",-,-,-,-,-,-,-,-,"2,87 %",-,"69,91 %",7,-
jegallardoga,ext_crmtorre,"102,66 %","156,38","81,21 %",-,-,-,-,-,-,-,-,"0,88 %",-,"102,9 %",7,-
jegallardoga,ext_pocornej,"59,49 %","70,7","76,35 %",-,-,-,-,-,-,-,-,"2,3 %",50 %,"102,8 %",11,-
jegallardoga,ext_solcabez,"79,16 %","90,74","78,4 %",-,-,-,-,-,-,-,-,"3,05 %",-,"98,58 %",11,-
jegallardoga,fmartinmanci,"112,6 %","129,07","88,25 %",-,-,-,-,-,-,-,-,"0,68 %",-,-,8,-
jegallardoga,fsepulvedami,"113,37 %","149,83","89,4 %",-,-,-,-,-,-,-,-,"0,18 %",0 %,"52,15 %",-,-
jegallardoga,irodriguezdo,"138,91 %","167,64","81,56 %",-,-,-,-,-,-,-,-,0 %,-,"96,65 %",11,-
jegallardoga,mcasosdiaz,"112,25 %","160,44","73,95 %",-,-,-,-,-,-,-,-,0 %,0 %,-,9,-
jegallardoga,mlouisor,"116,18 %","85,93","89,07 %",-,-,-,-,-,-,-,-,0 %,-,"68,56 %",7,-
jegallardoga,omezavilches,"126,4 %","206,16","89,03 %",-,-,-,-,-,-,-,-,"0,17 %",-,"84,13 %",-,-
jegallardoga,ext_crsaldia,-,-,0 %,-,-,-,-,-,-,-,-,-,-,-,-,-
