Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,apajaromerla,82 %,"120,08","84,31 %",-,-,-,-,-,-,-,-,"1,37 %",100 %,"102,6 %",7,-
jegallardoga,aschmidtfern,"81,05 %","141,99","72,32 %",-,-,-,-,-,-,-,-,"0,38 %",0 %,"105,1 %",8,-
jegallardoga,bmatoscastro,"93,97 %","135,14","78,89 %",-,-,-,-,-,-,-,-,"2,81 %",0 %,"102,1 %",5,-
jegallardoga,cpintoarruza,"80,5 %","97,27","84,39 %",-,-,-,-,-,-,-,-,"2,8 %",0 %,"99,87 %",5,-
jegallardoga,crojashidalg,"91,17 %","52,75","87,43 %",-,-,-,-,-,-,-,-,0 %,-,"64,1 %",7,-
jegallardoga,ext_ailynrod,"72,12 %","87,98","78,86 %",-,-,-,-,-,-,-,-,"2,4 %",0 %,"98,94 %",9,-
jegallardoga,ext_arieandr,"82,31 %","128,77","73,89 %",-,-,-,-,-,-,-,-,"0,41 %","33,33 %","100,5 %",4,-
jegallardoga,ext_conrocha,"101,21 %","135,52","78,84 %",-,-,-,-,-,-,-,-,"1,47 %","42,86 %","97,34 %",12,-
jegallardoga,ext_consaez,"69,69 %","76,64","81,22 %",-,-,-,-,-,-,-,-,"6,77 %",50 %,"102,47 %",11,39
jegallardoga,ext_crsaldia,"94,96 %","137,52","78,23 %",-,-,-,-,-,-,-,-,"1,39 %",50 %,"103,54 %",10,-
jegallardoga,ext_fujavier,"81,9 %","126,68","80,81 %",-,-,-,-,-,-,-,-,"2,93 %",-,"89,19 %",8,-
jegallardoga,ext_iaaranda,"87,77 %","97,71","87,77 %",-,-,-,-,-,-,-,-,"2,57 %",-,"103,05 %",8,-
jegallardoga,ext_jearriaz,"84,89 %","125,73","72,14 %",-,-,-,-,-,-,-,"120,09 %",0 %,-,"67,62 %",6,-
jegallardoga,ext_jheespin,"60,54 %","76,51","77,49 %",-,-,-,-,-,-,-,-,"4,43 %",-,"100,9 %",8,-
jegallardoga,ext_maagullo,"70,28 %","90,9","77,32 %",-,-,-,-,-,-,-,-,"3,99 %",-,"100,65 %",8,46
jegallardoga,ext_nanyespi,"81,57 %","140,09","55,07 %",-,-,-,-,-,-,-,-,0 %,"33,33 %","96,07 %",7,-
jegallardoga,ext_nicoyarz,"79,93 %","119,78","80,44 %",-,-,-,-,-,-,-,-,"8,12 %",-,-,-,-
jegallardoga,ext_pocornej,55 %,"66,1","77,46 %",-,-,-,-,-,-,-,-,"2,66 %",0 %,"103,43 %",9,-
jegallardoga,ext_sagalaz,"81,46 %","111,15","77,81 %",-,-,-,-,-,-,-,-,"2,1 %",0 %,"98,48 %",5,-
jegallardoga,ext_sebastfa,"77,47 %","97,73","70,87 %",-,-,-,-,-,-,-,-,"0,98 %",0 %,"83,19 %",9,-
jegallardoga,ext_solcabez,"73,56 %","89,52","76,48 %",-,-,-,-,-,-,-,-,"1,28 %",0 %,"99,77 %",10,-
jegallardoga,ext_toralfre,"108,75 %","141,55","79,72 %",-,-,-,-,-,-,-,-,"0,12 %",0 %,"93,32 %",6,56
jegallardoga,fsepulvedami,"88,18 %","135,95","76,92 %",-,-,-,-,-,-,-,-,"3,19 %",-,"97,9 %",7,-
jegallardoga,jniriancurih,"99,44 %","160,91","82,58 %",-,-,-,-,-,-,-,-,0 %,-,"90,43 %",5,-
jegallardoga,kcollaolazza,"68,94 %","68,64","85,29 %",-,-,-,-,-,-,-,-,0 %,0 %,"69,12 %",33,-
jegallardoga,mlouisor,"92,37 %","66,58","88,33 %",-,-,-,-,-,-,-,-,0 %,-,"77,6 %",10,-
jegallardoga,pgalvez,"88,27 %","115,26","84,41 %",-,-,-,-,-,-,-,-,"3,23 %",0 %,"96,97 %",5,-
jegallardoga,robarra,"97,51 %","69,24","88,64 %",-,-,-,-,-,-,-,-,0 %,-,"88,49 %",7,-
jegallardoga,rtorosanhuez,"73,58 %","137,99","74,85 %",-,-,-,-,-,-,-,-,"1,91 %",-,"77,47 %",8,-
jegallardoga,vhinostrozaz,"107,2 %","171,65","76,34 %",-,-,-,-,-,-,-,-,0 %,0 %,"75,61 %",9,-
jegallardoga,vortegonbern,"102,9 %","69,45","93,49 %",-,-,-,-,-,-,-,-,0 %,-,"65,42 %",6,-
jegallardoga,yrojasfuente,"89,36 %","148,81","64,36 %",-,-,-,-,-,-,-,-,"0,3 %",0 %,"94,3 %",7,-
jegallardoga,ajarasanchez,-,-,0 %,-,-,-,-,-,-,-,"71,83 %",-,-,"10,2 %",-,-
jegallardoga,dgonzalezmol,-,-,-,"19,57 %","126,69","24,39 %",-,-,-,-,-,-,-,"24,73 %",-,-
jegallardoga,ext_crmtorre,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"97,22 %",3,-
jegallardoga,ext_hugvasqu,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"102,22 %",0,-
jegallardoga,irodriguezdo,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"96,51 %",0,-
jegallardoga,mcasosdiaz,-,-,0 %,-,-,-,-,-,-,-,-,-,-,0 %,-,-
jegallardoga,ogandarillas,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"106,06 %",4,-
jegallardoga,omezavilches,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"98,54 %",-,-
