Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,apajaromerla,"95,72 %","134,52","77,92 %",-,-,-,-,-,-,-,-,"0,34 %",-,"101,24 %",10,8
jegallardoga,bmatoscastro,"120,11 %","150,19","83,57 %",-,-,-,-,-,-,-,-,"0,84 %",-,"89,06 %",10,13
jegallardoga,ext_algalarc,"117,12 %","147,28","87,54 %",-,-,-,-,-,-,-,-,"1,65 %",-,"100,19 %",11,13
jegallardoga,ext_arieandr,"90,52 %","120,53","78,52 %",-,-,-,-,-,-,-,-,"3,21 %",-,"81,52 %",8,9
jegallardoga,ext_conarave,"96,54 %","124,09","81,46 %",-,-,-,-,-,-,-,-,"0,13 %",-,-,-,-
jegallardoga,ext_crmtorre,"96,58 %","127,22","81,08 %",-,-,-,-,-,-,-,-,"0,68 %",-,"101,09 %",10,12
jegallardoga,ext_jearriaz,"92,95 %","125,59","79,42 %",-,-,-,-,-,-,-,-,0 %,-,"88,93 %",11,10
jegallardoga,ext_lucazamo,"90,61 %","116,13","84,7 %",-,-,-,-,-,-,-,-,"0,86 %",-,-,-,-
jegallardoga,fsepulvedami,"117,61 %","151,91","81,57 %",-,-,-,-,-,-,-,-,"0,66 %",-,"72,55 %",10,-
jegallardoga,irodriguezdo,"125,98 %","159,3","84,08 %",-,-,-,-,-,-,-,-,"0,95 %",-,"101,35 %",9,10
jegallardoga,mlouisor,"103,57 %","95,78","69,08 %",-,-,-,-,-,-,-,-,0 %,-,"79,73 %",19,27
jegallardoga,rtorosanhuez,"110,31 %","148,58","81,11 %",-,-,-,-,-,-,-,-,"0,52 %",-,"75,17 %",10,14
