Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"21,84 %","63,85","36,6 %",-,-,-,-,-,-,-,-,0 %,-,"7,92 %",4,-
jegallardoga,apajaromerla,"115,6 %","145,58","84,71 %",-,-,-,-,-,-,-,-,"0,21 %",-,"102,2 %",6,-
jegallardoga,bmatoscastro,"106,48 %","148,79","85,03 %",-,-,-,-,-,-,-,-,"0,31 %",-,"98,7 %",4,-
jegallardoga,cpintoarruza,"111,45 %","141,39","86,68 %",-,-,-,-,-,-,-,-,0 %,-,"102,82 %",4,-
jegallardoga,dgonzalezmol,"106,17 %","89,58","88,64 %",-,-,-,-,-,-,-,-,"0,54 %",-,"94,95 %",4,-
jegallardoga,ext_algalarc,"117,73 %","164,46","87,59 %",-,-,-,-,-,-,-,-,"0,46 %",-,"101,18 %",4,-
jegallardoga,ext_arieandr,"108,24 %","136,31","86,14 %",-,-,-,-,-,-,-,-,"1,87 %",0 %,"97,54 %",5,-
jegallardoga,ext_beangulo,"105,18 %","155,23","85,91 %",-,-,-,-,-,-,-,-,"1,3 %",-,"95,12 %",4,-
jegallardoga,ext_fujavier,"93,97 %","146,7","83,25 %",-,-,-,-,-,-,-,-,"1,14 %",-,"96,85 %",7,-
jegallardoga,ext_macasos,"115,02 %","139,91","86,86 %",-,-,-,-,-,-,-,-,"0,5 %",-,"87,15 %",4,-
jegallardoga,ext_osgandar,"89,91 %","128,46","86,69 %",-,-,-,-,-,-,-,-,"1,13 %",-,"96,26 %",6,-
jegallardoga,ext_sagalaz,"96,5 %","104,37","88,33 %",-,-,-,-,-,-,-,-,"0,29 %",-,"100,24 %",8,-
jegallardoga,fmartinmanci,"40,43 %","89,3","48,37 %",-,-,-,-,-,-,-,-,0 %,-,"8,93 %",6,-
jegallardoga,fsepulvedami,"104,47 %","143,18","81,9 %",-,-,-,-,-,-,-,-,"0,14 %",-,"100,67 %",8,-
jegallardoga,halvarezaran,"105,96 %","137,08","84,83 %",-,-,-,-,-,-,-,-,0 %,-,"104,09 %",5,-
jegallardoga,irodriguezdo,"124,68 %","153,94","82,13 %",-,-,-,-,-,-,-,-,"0,32 %",-,"102,49 %",7,-
jegallardoga,kcollaolazza,"123,24 %","184,24","83,86 %",-,-,-,-,-,-,-,-,"1,15 %",-,"101,74 %",5,-
jegallardoga,mlouisor,"95,6 %","76,81","79,39 %",-,-,-,-,-,-,-,-,0 %,-,"68,79 %",2,-
jegallardoga,ngabelocamil,"85,97 %","108,08","84,15 %",-,-,-,-,-,-,-,-,"1,2 %",-,"98,31 %",4,-
jegallardoga,omezavilches,"101,93 %","124,63","88,44 %",-,-,-,-,-,-,-,-,"1,11 %",-,"101,93 %",20,-
jegallardoga,pgalvez,"105,67 %","127,74","88,63 %",-,-,-,-,-,-,-,-,"0,85 %",0 %,"97,77 %",4,-
jegallardoga,robarra,"104,94 %","85,3","75,97 %",-,-,-,-,-,-,-,-,0 %,0 %,"100,06 %",9,-
jegallardoga,vhinostrozaz,"116,68 %","188,08","81,19 %",-,-,-,-,-,-,-,-,"0,66 %",-,"100,09 %",5,-
jegallardoga,vortegonbern,"114,02 %","80,68","87,22 %",-,-,-,-,-,-,-,-,0 %,0 %,"66,88 %",3,-
jegallardoga,yrojasfuente,"106,68 %","165,92","79,14 %",-,-,-,-,-,-,-,-,0 %,-,"97,64 %",7,-
jegallardoga,ext_crmtorre,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"99,06 %",8,12
jegallardoga,ext_jearriaz,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"83,92 %",6,10
jegallardoga,ext_nanyespi,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"93,36 %",-,-
jegallardoga,ext_scannais,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"54,01 %",-,-
jegallardoga,ext_toralfre,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"96,04 %",22,-
jegallardoga,jniriancurih,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"72,2 %",20,-
jegallardoga,rtorosanhuez,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"95,25 %",-,-
