Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,apajaromerla,"103,55 %","150,41","89,96 %",-,-,-,-,-,-,-,-,"1,3 %",-,"100,95 %",6,8
jegallardoga,bmatoscastro,"100,69 %",125,"87,78 %",-,-,-,-,-,-,-,-,"0,45 %",0 %,"100,24 %",7,9
jegallardoga,ext_algalarc,"97,67 %","142,38","85,37 %",-,-,-,-,-,-,-,-,"1,66 %",-,"98,92 %",6,-
jegallardoga,ext_arieandr,"88,91 %","107,11","84,88 %",-,-,-,-,-,-,-,-,"0,53 %",-,"98,49 %",7,10
jegallardoga,ext_beangulo,"122,55 %","194,05","86,55 %",-,-,-,-,-,-,-,-,"1,54 %",-,-,4,-
jegallardoga,ext_conarave,"89,25 %","120,16","84,44 %",-,-,-,-,-,-,-,-,"0,12 %",-,-,-,-
jegallardoga,ext_crmtorre,"88,84 %","113,28","84,89 %",-,-,-,-,-,-,-,-,"0,13 %",-,"98,87 %",8,19
jegallardoga,ext_jearriaz,"91,14 %","110,66","87,92 %",-,-,-,-,-,-,-,-,"0,39 %",-,"93,5 %",6,19
jegallardoga,ext_macasos,"119,86 %","165,59","90,25 %",-,-,-,-,-,-,-,-,"0,83 %",0 %,-,4,0
jegallardoga,ext_toralfre,"111,59 %","176,98","88,29 %",-,-,-,-,-,-,-,-,"1,49 %",-,-,6,0
jegallardoga,fsepulvedami,"102,96 %","127,08","87,22 %",-,-,-,-,-,-,-,-,"0,67 %",0 %,-,8,-
jegallardoga,irodriguezdo,"110,17 %","162,61","91,03 %",-,-,-,-,-,-,-,-,"1,05 %",-,"99,57 %",7,12
jegallardoga,rtorosanhuez,"100,16 %","170,91","84,32 %",-,-,-,-,-,-,-,-,"1,7 %",-,"87,92 %",10,18
jegallardoga,vhinostrozaz,"126,29 %","166,69","90,5 %",-,-,-,-,-,-,-,-,0 %,-,"83,22 %",6,11
