Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"73,27 %","97,34","80,11 %",-,-,-,-,-,-,-,-,"1,68 %",-,"103,06 %",4,-
jegallardoga,bmatoscastro,"95,54 %","129,49","84,5 %",-,-,-,-,-,-,-,-,"0,25 %",-,"99,9 %",4,-
jegallardoga,cpintoarruza,"108,85 %","135,37","88,42 %",-,-,-,-,-,-,-,-,0 %,-,"102,52 %",4,-
jegallardoga,crojashidalg,"97,33 %","66,45","90,89 %",-,-,-,-,-,-,-,-,0 %,-,0 %,-,-
jegallardoga,dgonzalezmol,"87,12 %","95,99","80,76 %",-,-,-,-,-,-,-,-,"0,21 %",-,"82,07 %",0,-
jegallardoga,ext_algalarc,"84,23 %","128,09","73,33 %",-,-,-,-,-,-,-,-,0 %,-,"71,48 %",3,-
jegallardoga,ext_beangulo,"100,68 %","165,39","76,07 %",-,-,-,-,-,-,-,-,"3,65 %",-,"99,42 %",3,-
jegallardoga,ext_fujavier,"103,34 %","166,27","83,75 %",-,-,-,-,-,-,-,-,"0,23 %",-,"81,45 %",6,-
jegallardoga,ext_macasos,"94,9 %","113,57","85,61 %",-,-,-,-,-,-,-,-,"1,06 %",-,"102,92 %",4,-
jegallardoga,ext_osgandar,"87,44 %","116,01","75,98 %",-,-,-,-,-,-,-,-,"1,65 %",-,"80,46 %",6,-
jegallardoga,ext_sagalaz,"101,28 %","107,96","89,67 %",-,-,-,-,-,-,-,-,"0,4 %",-,"101,85 %",5,-
jegallardoga,fmartinmanci,"82,63 %","125,23","85,68 %",-,-,-,-,-,-,-,-,"0,12 %",-,"103,35 %",5,-
jegallardoga,fsepulvedami,"100,55 %","185,32","73,52 %",-,-,-,-,-,-,-,-,"0,25 %",-,"101,96 %",5,-
jegallardoga,halvarezaran,"93,96 %","120,46","85,47 %",-,-,-,-,-,-,-,-,0 %,-,"103,72 %",3,-
jegallardoga,kcollaolazza,"107,91 %","145,33","89,41 %",-,-,-,-,-,-,-,-,"1,39 %",-,"96,94 %",4,-
jegallardoga,ngabelocamil,"77,77 %","103,39","81,33 %",-,-,-,-,-,-,-,-,"0,65 %",0 %,"98,94 %",6,-
jegallardoga,omezavilches,"96,88 %","123,14","85,48 %",-,-,-,-,-,-,-,-,"0,49 %",0 %,"101,57 %",4,-
jegallardoga,pgalvez,"94,84 %","114,26","88,98 %",-,-,-,-,-,-,-,-,"0,67 %",0 %,"98,78 %",3,-
jegallardoga,robarra,"84,68 %","77,51","76,41 %",-,-,-,-,-,-,-,-,0 %,-,"83,42 %",5,-
jegallardoga,rtorosanhuez,"96,17 %","126,95","82,37 %",-,-,-,-,-,-,-,-,"0,26 %",-,"49,48 %",-,-
jegallardoga,vhinostrozaz,"99,57 %","138,06","87,35 %",-,-,-,-,-,-,-,-,"1,13 %",-,"90,03 %",4,-
jegallardoga,vortegonbern,"107,25 %","74,06","90,12 %",-,-,-,-,-,-,-,-,0 %,-,"78,1 %",1,-
jegallardoga,yrojasfuente,"99,11 %","159,8","79,16 %",-,-,-,-,-,-,-,-,"1,29 %",-,"82,09 %",4,-
jegallardoga,apajaromerla,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"104,71 %",7,9
jegallardoga,ext_crmtorre,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"102,45 %",9,10
jegallardoga,ext_jearriaz,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"101,88 %",5,10
jegallardoga,ext_nanyespi,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"98,85 %",-,-
jegallardoga,ext_scannais,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"72,46 %",-,-
jegallardoga,ext_toralfre,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"90,76 %",22,-
jegallardoga,irodriguezdo,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"102,6 %",6,-
jegallardoga,jniriancurih,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"93,84 %",21,-
jegallardoga,mlouisor,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"97,85 %",-,-
