Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"95,3 %","109,82","87,37 %",-,-,-,-,-,-,-,-,0 %,-,"100,45 %",8,-
jegallardoga,aschmidtfern,"131,12 %","152,87","87,56 %",-,-,-,-,-,-,-,-,"1,85 %",-,"96,16 %",9,-
jegallardoga,bmatoscastro,"105,82 %","151,69",89 %,-,-,-,-,-,-,-,-,"0,67 %",-,"103,67 %",9,-
jegallardoga,cpintoarruza,"91,63 %","108,41","92,93 %",-,-,-,-,-,-,-,-,"2,64 %",-,"101,3 %",6,-
jegallardoga,ext_beangulo,"106,26 %","165,42","83,12 %",-,-,-,-,-,-,-,-,0 %,0 %,"94,44 %",6,-
jegallardoga,ext_criarria,"100,32 %","110,09","75,98 %",-,-,-,-,-,-,-,-,"0,19 %",0 %,"84,22 %",-,-
jegallardoga,ext_crmtorre,"115,97 %","148,2","84,56 %",-,-,-,-,-,-,-,-,0 %,-,"101,13 %",7,-
jegallardoga,ext_hugvasqu,"99,08 %","103,79","91,41 %",-,-,-,-,-,-,-,-,"0,56 %",-,"102,17 %",9,-
jegallardoga,ext_iaaranda,"103,86 %","111,27","77,92 %",-,-,-,-,-,-,-,-,"3,95 %",100 %,"80,62 %",-,-
jegallardoga,ext_jearriaz,"96,66 %","127,15","82,8 %",-,-,-,-,-,-,-,-,"1,27 %",-,"100,91 %",8,-
jegallardoga,ext_jheespin,"65,09 %","76,5","71,23 %",-,-,-,-,-,-,-,-,"0,41 %",-,"59,91 %",-,-
jegallardoga,ext_maagullo,"113,9 %","117,28","80,37 %",-,-,-,-,-,-,-,-,"0,34 %",-,"85,1 %",-,-
jegallardoga,ext_nanyespi,"99,51 %","163,65","84,33 %",-,-,-,-,-,-,-,-,"0,19 %",50 %,"103,91 %",10,-
jegallardoga,ext_nicoyarz,"107,1 %","85,6","81,1 %",-,-,-,-,-,-,-,-,"1,08 %",100 %,-,-,-
jegallardoga,ext_sagalaz,"107,03 %","116,52","87,95 %",-,-,-,-,-,-,-,-,"1,17 %",-,"100,22 %",8,-
jegallardoga,ext_toralfre,"109,66 %","175,48","86,67 %",-,-,-,-,-,-,-,-,"1,66 %",-,"100,81 %",6,-
jegallardoga,fmartinmanci,"110,48 %","121,63","86,94 %",-,-,-,-,-,-,-,-,"0,64 %",-,"100,19 %",7,-
jegallardoga,fsepulvedami,"103,09 %","159,35","86,27 %",-,-,-,-,-,-,-,-,0 %,0 %,"99,07 %",8,-
jegallardoga,halvarezaran,"88,16 %","112,48","87,11 %",-,-,-,-,-,-,-,-,"1,5 %",-,"101,13 %",6,-
jegallardoga,jniriancurih,"117,13 %","166,71","86,38 %",-,-,-,-,-,-,-,-,"1,83 %",-,"67,22 %",6,-
jegallardoga,kcollaolazza,"111,51 %","167,27","85,98 %",-,-,-,-,-,-,-,-,"2,55 %",-,"85,14 %",6,-
jegallardoga,mlouisor,"76,16 %","46,6","87,79 %",-,-,-,-,-,-,-,-,0 %,-,"63,88 %",8,-
jegallardoga,ngabelocamil,"76,2 %","103,74","80,45 %",-,-,-,-,-,-,-,-,"1,56 %",-,"93,22 %",27,-
jegallardoga,ogandarillas,"98,23 %","129,36","83,9 %",-,-,-,-,-,-,-,-,"0,25 %",-,"98,15 %",9,-
jegallardoga,omezavilches,"131,52 %","191,96","86,32 %",-,-,-,-,-,-,-,-,"0,73 %",0 %,"94,03 %",5,-
jegallardoga,pgalvez,"108,32 %","131,49","88,93 %",-,-,-,-,-,-,-,-,"0,48 %",-,"95,24 %",6,-
jegallardoga,robarra,"87,43 %","76,7","86,88 %",-,-,-,-,-,-,-,-,0 %,-,"88,17 %",10,-
jegallardoga,rtorosanhuez,"102,02 %","152,5","87,16 %",-,-,-,-,-,-,-,-,"0,54 %",0 %,"97,46 %",11,-
jegallardoga,vhinostrozaz,"112,68 %","165,58","84,3 %",-,-,-,-,-,-,-,-,0 %,-,"70,57 %",7,-
jegallardoga,vortegonbern,"85,11 %","57,73","92,01 %",-,-,-,-,-,-,-,-,0 %,-,"71,32 %",6,-
jegallardoga,apajaromerla,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"101,07 %",10,12
jegallardoga,mcasosdiaz,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"84,47 %",9,12
jegallardoga,yrojasfuente,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"97,01 %",8,9
