Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,apajaromerla,"105,13 %","141,7","88,57 %",-,-,-,-,-,-,-,-,0 %,-,"100,65 %",5,-
jegallardoga,aschmidtfern,"124,02 %","168,24","88,47 %",-,-,-,-,-,-,-,-,"0,58 %",-,"93,13 %",7,-
jegallardoga,bmatoscastro,"118,66 %","136,52","83,34 %",-,-,-,-,-,-,-,-,0 %,-,"102,84 %",8,-
jegallardoga,crojashidalg,"104,09 %","68,84","93,3 %",-,-,-,-,-,-,-,-,0 %,-,"82,48 %",6,-
jegallardoga,ext_agquezad,"138,83 %","104,93","80,8 %",-,-,-,-,-,-,-,-,"1,04 %",0 %,"76,18 %",43,-
jegallardoga,ext_ailynrod,"62,11 %","79,64","74,83 %",-,-,-,-,-,-,-,-,0 %,-,"74,67 %",-,-
jegallardoga,ext_arieandr,101 %,"142,64","87,03 %",-,-,-,-,-,-,-,-,0 %,-,"101,85 %",5,-
jegallardoga,ext_carmefig,"103,38 %","85,96","77,54 %",-,-,-,-,-,-,-,-,"1,18 %",-,"85,33 %",42,-
jegallardoga,ext_conrocha,"67,04 %","91,68","64,78 %",-,-,-,-,-,-,-,-,0 %,-,"70,08 %",-,-
jegallardoga,ext_consaez,"60,3 %","84,21","80,26 %",-,-,-,-,-,-,-,-,0 %,100 %,"74,95 %",-,-
jegallardoga,ext_criarria,"87,39 %","96,39","81,1 %",-,-,-,-,-,-,-,-,"0,51 %",-,"101,65 %",0,-
jegallardoga,ext_crmtorre,"112,55 %","143,06","85,01 %",-,-,-,-,-,-,-,-,0 %,-,"98,6 %",5,-
jegallardoga,ext_crsaldia,"140,68 %","112,06","83,57 %",-,-,-,-,-,-,-,-,"0,17 %",-,"83,61 %",43,-
jegallardoga,ext_fujavier,"101,49 %","158,62","87,84 %",-,-,-,-,-,-,-,-,0 %,0 %,"98,3 %",5,-
jegallardoga,ext_hugvasqu,"118,32 %","144,28","87,44 %",-,-,-,-,-,-,-,-,"0,1 %",-,"102,27 %",5,-
jegallardoga,ext_iaaranda,"77,72 %","87,22","82,29 %",-,-,-,-,-,-,-,-,"0,92 %",-,"100,05 %",3,-
jegallardoga,ext_jheespin,"56,41 %","77,79","76,57 %",-,-,-,-,-,-,-,-,"0,22 %",-,"102,6 %",7,12
jegallardoga,ext_maagullo,"91,62 %","105,7","79,69 %",-,-,-,-,-,-,-,-,"0,87 %",0 %,92 %,5,-
jegallardoga,ext_nanyespi,"58,28 %","170,27","47,1 %",-,-,-,-,-,-,-,-,0 %,-,"107,54 %",2,16
jegallardoga,ext_nicoyarz,"84,53 %","106,25","87,3 %",-,-,-,-,-,-,-,-,"0,42 %",-,-,-,-
jegallardoga,ext_pocornej,"60,53 %","79,31","78,34 %",-,-,-,-,-,-,-,-,"0,8 %",-,"81,37 %",45,-
jegallardoga,ext_sagalaz,"92,88 %","117,77","80,52 %",-,-,-,-,-,-,-,-,"0,42 %",-,"100,08 %",6,-
jegallardoga,ext_sebastfa,"80,57 %","98,13","78,97 %",-,-,-,-,-,-,-,-,0 %,-,"63,86 %",-,-
jegallardoga,ext_solcabez,"99,71 %","88,94","66,5 %",-,-,-,-,-,-,-,-,"1,97 %",-,"81,91 %",-,-
jegallardoga,ext_toralfre,"111,96 %",136,"81,47 %",-,-,-,-,-,-,-,-,"0,47 %",-,"103,35 %",11,55
jegallardoga,fsepulvedami,"127,09 %","132,85","90,48 %",-,-,-,-,-,-,-,-,"2,06 %",-,"74,04 %",6,-
jegallardoga,irodriguezdo,"117,8 %","144,3","87,12 %",-,-,-,-,-,-,-,-,"0,59 %",-,"91,59 %",2,-
jegallardoga,jniriancurih,"125,5 %","193,8","89,94 %",-,-,-,-,-,-,-,-,"0,43 %",-,"89,71 %",6,-
jegallardoga,kcollaolazza,"136,63 %","211,82","90,85 %",-,-,-,-,-,-,-,-,"0,57 %",-,"41,43 %",2,-
jegallardoga,mcasosdiaz,"70,72 %","171,69","56,67 %",-,-,-,-,-,-,-,-,0 %,-,"85,87 %",1,15
jegallardoga,mlouisor,"79,37 %","58,72","88,75 %",-,-,-,-,-,-,-,-,0 %,-,"61,57 %",7,-
jegallardoga,ogandarillas,"119,51 %","167,73","86,37 %",-,-,-,-,-,-,-,-,0 %,-,"70,64 %",4,-
jegallardoga,omezavilches,"109,47 %","168,45","87,85 %",-,-,-,-,-,-,-,-,"1,61 %",-,"87,06 %",1,-
jegallardoga,pgalvez,"93,6 %","124,92","86,95 %",-,-,-,-,-,-,-,-,"1,27 %",-,"97,25 %",4,-
jegallardoga,robarra,"106,95 %","75,57","87,32 %",-,-,-,-,-,-,-,-,0 %,-,"54,79 %",5,-
jegallardoga,vhinostrozaz,"124,25 %","192,05","90,49 %",-,-,-,-,-,-,-,-,"0,11 %",-,"73,57 %",2,-
jegallardoga,vortegonbern,"111,78 %","73,6","93,68 %",-,-,-,-,-,-,-,-,0 %,-,"68,82 %",2,-
jegallardoga,yrojasfuente,"106,48 %","154,31","74,45 %",-,-,-,-,-,-,-,-,"0,52 %",0 %,"90,35 %",7,49
jegallardoga,ajarasanchez,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"101,84 %",6,13
jegallardoga,cpintoarruza,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"104,73 %",0,10
jegallardoga,dgonzalezmol,-,-,-,-,-,-,-,-,-,-,-,-,-,"92,13 %",-,-
jegallardoga,ext_jearriaz,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"100,54 %",15,11
jegallardoga,fmartinmanci,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"90,4 %",-,10
jegallardoga,halvarezaran,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"102,76 %",8,8
jegallardoga,ngabelocamil,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"102,34 %",2,11
jegallardoga,rtorosanhuez,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"12,13 %",-,-
