Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"77,81 %","115,72","74,39 %",-,-,-,-,-,-,-,-,0 %,0 %,"88,72 %",-,-
jegallardoga,apajaromerla,"87,75 %","119,08","85,8 %",-,-,-,-,-,-,-,-,"1,25 %",-,"99,97 %",13,-
jegallardoga,aschmidtfern,"93,53 %","198,67","51,29 %",-,-,-,-,-,-,-,-,0 %,-,"104,51 %",10,-
jegallardoga,bmatoscastro,"110,92 %","139,91","81,4 %",-,-,-,-,-,-,-,-,0 %,0 %,"103,32 %",7,-
jegallardoga,cpintoarruza,"82,61 %","99,27","83,63 %",-,-,-,-,-,-,-,-,"1,37 %",0 %,"100,6 %",9,-
jegallardoga,ext_ailynrod,"79,14 %","92,64","83,97 %",-,-,-,-,-,-,-,-,"1,18 %",-,"97,19 %",10,-
jegallardoga,ext_arieandr,"100,41 %","122,77","84,97 %",-,-,-,-,-,-,-,-,"1,81 %",-,"101,25 %",8,-
jegallardoga,ext_beavello,"71,06 %","97,02","60,77 %",-,-,-,-,-,-,-,-,"1,05 %",-,"19,28 %",13,-
jegallardoga,ext_conrocha,"98,53 %","128,46","80,89 %",-,-,-,-,-,-,-,-,"3,11 %",0 %,"99,11 %",11,-
jegallardoga,ext_consaez,"71,56 %","79,16","77,37 %",-,-,-,-,-,-,-,-,"1,69 %",-,"103,09 %",12,43
jegallardoga,ext_criarria,"91,22 %",105,"83,53 %",-,-,-,-,-,-,-,-,"4,01 %",0 %,"98,28 %",14,-
jegallardoga,ext_crmtorre,98 %,"143,44","73,84 %",-,-,-,-,-,-,-,-,0 %,50 %,"83,77 %",-,-
jegallardoga,ext_crsaldia,"115,74 %","144,73","89,17 %",-,-,-,-,-,-,-,-,"4,03 %",0 %,"104,63 %",7,-
jegallardoga,ext_fujavier,"97,13 %","156,8","86,25 %",-,-,-,-,-,-,-,-,"2,85 %",0 %,"92,61 %",8,-
jegallardoga,ext_hugvasqu,"106,99 %","145,89","79,3 %",-,-,-,-,-,-,-,-,0 %,-,"101,6 %",9,-
jegallardoga,ext_iaaranda,"57,36 %","78,4","74,92 %",-,-,-,-,-,-,-,-,"4,05 %",0 %,"101,6 %",13,-
jegallardoga,ext_jearriaz,"96,39 %","140,19","76,36 %",-,-,-,-,-,-,-,-,0 %,0 %,"79,84 %",-,-
jegallardoga,ext_jheespin,"61,8 %","74,84","77,86 %",-,-,-,-,-,-,-,-,"1,93 %",0 %,"101,38 %",10,-
jegallardoga,ext_maagullo,"71,55 %","92,59","79,07 %",-,-,-,-,-,-,-,-,"1,69 %",50 %,"107,33 %",8,46
jegallardoga,ext_nanyespi,"114,32 %","166,56","81,27 %",-,-,-,-,-,-,-,-,0 %,0 %,"100,39 %",10,-
jegallardoga,ext_nicoyarz,"72,48 %","84,91","82,24 %",-,-,-,-,-,-,-,-,"0,7 %",-,-,-,-
jegallardoga,ext_pocornej,"57,2 %","65,7","78,52 %",-,-,-,-,-,-,-,-,"1,23 %",0 %,"100,69 %",12,-
jegallardoga,ext_sagalaz,"103,24 %","120,52","86,63 %",-,-,-,-,-,-,-,-,"1,63 %",-,"97,68 %",9,-
jegallardoga,ext_sebastfa,"96,15 %",113,"84,52 %",-,-,-,-,-,-,-,-,"4,67 %",-,102 %,8,-
jegallardoga,ext_toralfre,"111,94 %","148,35","76,31 %",-,-,-,-,-,-,-,-,"0,11 %",0 %,"100,38 %",8,-
jegallardoga,fmartinmanci,"100,48 %","107,79","91,36 %",-,-,-,-,-,-,-,-,"3,6 %",0 %,"100,86 %",8,-
jegallardoga,halvarezaran,"105,23 %","133,06","83,84 %",-,-,-,-,-,-,-,-,0 %,-,"87,48 %",-,-
jegallardoga,irodriguezdo,"128,71 %","165,19","87,22 %",-,-,-,-,-,-,-,-,0 %,-,"97,4 %",8,-
jegallardoga,jniriancurih,"81,62 %","140,86","79,72 %",-,-,-,-,-,-,-,-,0 %,-,"104,64 %",7,-
jegallardoga,mcasosdiaz,"124,82 %","179,31","95,78 %",-,-,-,-,-,-,-,-,0 %,-,"104,8 %",7,-
jegallardoga,mlouisor,"103,54 %","76,52","86,84 %",-,-,-,-,-,-,-,-,0 %,-,"72,96 %",8,-
jegallardoga,ngabelocamil,"80,54 %","102,38","85,7 %",-,-,-,-,-,-,-,-,0 %,-,"99,83 %",8,-
jegallardoga,ogandarillas,"95,57 %","117,65","88,5 %",-,-,-,-,-,-,-,-,0 %,-,"104,78 %",8,-
jegallardoga,pgalvez,"96,82 %","122,97","85,52 %",-,-,-,-,-,-,-,-,"0,54 %",-,"89,08 %",6,-
jegallardoga,robarra,"127,54 %","92,22","86,9 %",-,-,-,-,-,-,-,-,0 %,-,"90,45 %",9,-
jegallardoga,rtorosanhuez,"85,95 %","148,42","79,68 %",-,-,-,-,-,-,-,-,"3,58 %",-,"78,78 %",8,-
jegallardoga,vortegonbern,"110,01 %","80,48","86,06 %",-,-,-,-,-,-,-,-,0 %,-,"75,64 %",6,-
jegallardoga,fsepulvedami,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"55,22 %",-,-
jegallardoga,kcollaolazza,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"2,54 %",-,-
jegallardoga,omezavilches,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"21,43 %",-,-
jegallardoga,vhinostrozaz,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"25,26 %",-,-
jegallardoga,yrojasfuente,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"0,47 %",-,-
