Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"73,96 %","84,12","87,22 %",-,-,-,-,-,-,-,-,"1,14 %",-,"103,12 %",10,-
jegallardoga,apajaromerla,"120,61 %","150,34","86,98 %",-,-,-,-,-,-,-,-,0 %,-,"102,21 %",3,-
jegallardoga,aschmidtfern,"92,34 %","138,33","71,48 %",-,-,-,-,-,-,-,-,"2,26 %",-,"92,79 %",-,-
jegallardoga,crojashidalg,"102,84 %","73,08","92,7 %",-,-,-,-,-,-,-,-,0 %,-,"81,35 %",4,-
jegallardoga,ediazvega,"87,78 %","105,93","71,92 %",-,-,-,-,-,-,-,-,"5,53 %",50 %,-,-,-
jegallardoga,ext_anllamoc,"66,16 %","66,87","75,29 %",-,-,-,-,-,-,-,-,0 %,-,"73,26 %",-,-
jegallardoga,ext_arieandr,"102,72 %","125,66","89,62 %",-,-,-,-,-,-,-,-,"4,42 %",0 %,"79,56 %",3,-
jegallardoga,ext_benjleal,"93,29 %","112,95","83,84 %",-,-,-,-,-,-,-,-,"3,87 %",0 %,"69,39 %",-,-
jegallardoga,ext_brleteli,"107,26 %","130,39","83,4 %",-,-,-,-,-,-,-,-,"3,48 %",0 %,"67,4 %",-,-
jegallardoga,ext_caadomin,"93,58 %","97,5","75,47 %",-,-,-,-,-,-,-,-,"0,75 %",-,"69,37 %",-,-
jegallardoga,ext_conrocha,"104,8 %","135,97","83,65 %",-,-,-,-,-,-,-,-,"4,26 %",0 %,"95,16 %",8,-
jegallardoga,ext_consaez,"77,63 %","115,28","83,67 %",-,-,-,-,-,-,-,-,"3,76 %",0 %,"107,88 %",5,-
jegallardoga,ext_crmtorre,"107,01 %","165,02","72,07 %",-,-,-,-,-,-,-,-,0 %,0 %,"104,75 %",5,0
jegallardoga,ext_crsaldia,"81,02 %","145,26","72,49 %",-,-,-,-,-,-,-,-,0 %,-,"93,62 %",4,-
jegallardoga,ext_darcares,"64,75 %","85,7","67,4 %",-,-,-,-,-,-,-,-,"0,51 %",0 %,"43,85 %",-,26
jegallardoga,ext_devallad,"46,27 %","106,3","56,86 %",-,-,-,-,-,-,-,-,"1,17 %",-,"35,74 %",-,-
jegallardoga,ext_deyalvar,"76,47 %","100,11","77,41 %",-,-,-,-,-,-,-,-,"3,72 %",50 %,"66,08 %",-,-
jegallardoga,ext_hugvasqu,"98,46 %","135,65","85,82 %",-,-,-,-,-,-,-,-,"2,71 %",100 %,"90,04 %",5,0
jegallardoga,ext_jheespin,"65,99 %","88,59","81,98 %",-,-,-,-,-,-,-,-,"2,78 %",50 %,"91,2 %",3,-
jegallardoga,ext_kamgonza,"79,13 %","96,37","71,49 %",-,-,-,-,-,-,-,-,"1,06 %",-,"69,88 %",-,-
jegallardoga,ext_luijara,"85,46 %","107,61","80,56 %",-,-,-,-,-,-,-,-,"5,24 %","33,33 %","67,25 %",-,-
jegallardoga,ext_marliemp,"94,93 %","96,77","74,63 %",-,-,-,-,-,-,-,-,"2,67 %",0 %,"66,13 %",-,-
jegallardoga,ext_nicoletp,"61,83 %","75,72","61,9 %",-,-,-,-,-,-,-,-,"1,27 %",-,"67,13 %",-,-
jegallardoga,ext_nicoyarz,"70,01 %","105,79","71,11 %",-,-,-,-,-,-,-,-,"25,96 %",-,-,-,-
jegallardoga,ext_pamayala,"103,54 %","129,43","80,92 %",-,-,-,-,-,-,-,-,"7,59 %",-,"62,26 %",-,-
jegallardoga,ext_papasco,"63,51 %","70,67","70,93 %",-,-,-,-,-,-,-,-,"2,19 %",-,"69,48 %",-,-
jegallardoga,ext_patbascu,"70,85 %","76,57","75,7 %",-,-,-,-,-,-,-,-,"2,25 %",-,"68,61 %",-,-
jegallardoga,ext_pocornej,"61,43 %","68,91","79,8 %",-,-,-,-,-,-,-,-,"1,62 %",0 %,"100,27 %",10,-
jegallardoga,ext_rodrolgu,"72,3 %","71,33","73,96 %",-,-,-,-,-,-,-,-,"0,35 %",-,"71,5 %",-,-
jegallardoga,ext_sagalaz,"101,35 %","119,82","88,18 %",-,-,-,-,-,-,-,-,"1,46 %",100 %,"100,74 %",5,0
jegallardoga,ext_sebastfa,"73,12 %","102,08","69,87 %",-,-,-,-,-,-,-,-,"0,49 %",-,"35,13 %",5,-
jegallardoga,ext_solcabez,"68,49 %","87,98","74,65 %",-,-,-,-,-,-,-,-,"0,81 %",-,"95,16 %",5,-
jegallardoga,ext_yarelahe,"70,77 %","72,88","69,24 %",-,-,-,-,-,-,-,-,"1,83 %",0 %,"68,11 %",-,-
jegallardoga,ext_yuyzunig,"89,63 %","116,53","78,19 %",-,-,-,-,-,-,-,-,"2,98 %",-,"47,03 %",-,-
jegallardoga,fpobleteayal,"64,28 %","84,72","70,13 %",-,-,-,-,-,-,-,-,"7,77 %",-,-,-,-
jegallardoga,fsepulvedami,"128,17 %","205,45","90,08 %",-,-,-,-,-,-,-,-,0 %,-,"95,12 %",5,-
jegallardoga,iquezadaland,"67,06 %","92,99","82,59 %",-,-,-,-,-,-,-,-,"0,42 %",-,-,-,-
jegallardoga,irodriguezdo,"133,63 %","163,33","88,59 %",-,-,-,-,-,-,-,-,0 %,-,"99,51 %",3,-
jegallardoga,jniriancurih,"79,86 %","132,42","76,37 %",-,-,-,-,-,-,-,-,0 %,0 %,"99,77 %",3,-
jegallardoga,kcollaolazza,"48,4 %","67,13","79,05 %",-,-,-,-,-,-,-,-,0 %,-,"78,02 %",-,-
jegallardoga,mcasosdiaz,"97,09 %","149,66","76,4 %",-,-,-,-,-,-,-,-,0 %,0 %,"106,6 %",3,-
jegallardoga,mlouisor,"82,36 %","61,53","88,54 %",-,-,-,-,-,-,-,-,0 %,-,"82,75 %",12,-
jegallardoga,omezavilches,"107,28 %","164,88","78,75 %",-,-,-,-,-,-,-,-,0 %,-,"42,8 %",2,-
jegallardoga,pgalvez,"116,73 %","147,45","86,55 %",-,-,-,-,-,-,-,-,0 %,-,"95,35 %",3,-
jegallardoga,robarra,"94,89 %","67,36","88,43 %",-,-,-,-,-,-,-,-,0 %,-,"85,69 %",10,-
jegallardoga,vhinostrozaz,"135,34 %","180,43","88,13 %",-,-,-,-,-,-,-,-,"2,37 %",-,"88,48 %",3,-
jegallardoga,vortegonbern,"98,54 %","72,06","89,89 %",-,-,-,-,-,-,-,-,0 %,0 %,"83,1 %",8,-
jegallardoga,yrojasfuente,"123,51 %","198,13","81,67 %",-,-,-,-,-,-,-,-,"0,21 %",-,"99,68 %",5,0
jegallardoga,bmatoscastro,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"88,17 %",-,-
jegallardoga,cpintoarruza,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"101,85 %",5,-
