Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"73,87 %","97,5","83,9 %",-,-,-,-,-,-,-,-,"0,7 %",-,"103,56 %",6,22
jegallardoga,apajaromerla,"87,04 %","104,97","85,81 %",-,-,-,-,-,-,-,-,"2,79 %",0 %,"102,89 %",6,20
jegallardoga,bmatoscastro,"99,39 %","137,74","84,39 %",-,-,-,-,-,-,-,-,"0,4 %",-,"103,33 %",7,19
jegallardoga,cpintoarruza,"118,59 %","156,12","82,78 %",-,-,-,-,-,-,-,-,0 %,0 %,"103,89 %",7,20
jegallardoga,crojashidalg,"113,51 %","79,83","90,2 %",-,-,-,-,-,-,-,-,0 %,-,"80,15 %",15,25
jegallardoga,dgonzalezmol,"85,62 %","68,21","80,77 %",-,-,-,-,-,-,-,-,0 %,-,"94,56 %",6,20
jegallardoga,ext_algalarc,"98,69 %","128,89","87,02 %",-,-,-,-,-,-,-,-,"0,42 %",-,"81,59 %",4,19
jegallardoga,ext_arieandr,"90,28 %","122,47","76,28 %",-,-,-,-,-,-,-,-,"1,3 %",-,"97,19 %",4,23
jegallardoga,ext_beangulo,"98,49 %","154,58","80,39 %",-,-,-,-,-,-,-,-,"1,18 %",-,"72,86 %",6,-
jegallardoga,ext_fujavier,"110,61 %","176,09","82,95 %",-,-,-,-,-,-,-,-,"0,81 %",-,"100,16 %",5,22
jegallardoga,ext_macasos,"102,34 %","166,14","75,84 %",-,-,-,-,-,-,-,-,"2,36 %",-,"95,63 %",5,20
jegallardoga,ext_nanyespi,"106,87 %","172,77","84,93 %",-,-,-,-,-,-,-,-,"2,49 %",-,79 %,4,20
jegallardoga,ext_osgandar,"108,37 %","159,88","86,15 %",-,-,-,-,-,-,-,-,"1,81 %",-,"59,31 %",9,-
jegallardoga,ext_sagalaz,"101,95 %","110,47","87,8 %",-,-,-,-,-,-,-,-,"0,24 %",-,"103,3 %",6,20
jegallardoga,ext_scannais,"111,17 %","139,6","85,74 %",-,-,-,-,-,-,-,-,"0,52 %",0 %,"71,35 %",6,23
jegallardoga,ext_toralfre,"100,38 %","142,62","80,17 %",-,-,-,-,-,-,-,-,"2,25 %",0 %,"103,26 %",5,-
jegallardoga,fmartinmanci,"87,33 %","109,84","86,85 %",-,-,-,-,-,-,-,-,"1,32 %",0 %,"103,29 %",5,21
jegallardoga,fsepulvedami,"102,27 %","160,23","83,01 %",-,-,-,-,-,-,-,-,"0,26 %",-,"102,3 %",7,20
jegallardoga,halvarezaran,"115,91 %","159,68","78,02 %",-,-,-,-,-,-,-,-,0 %,-,"103,12 %",9,22
jegallardoga,irodriguezdo,"134,58 %","150,5","86,05 %",-,-,-,-,-,-,-,-,"0,21 %",-,"101,89 %",5,-
jegallardoga,jniriancurih,"72,05 %","109,42","66,05 %",-,-,-,-,-,-,-,-,"1,25 %",-,"97,33 %",4,25
jegallardoga,kcollaolazza,"110,54 %","159,67","81,27 %",-,-,-,-,-,-,-,-,"1,99 %",-,"101,79 %",4,22
jegallardoga,mlouisor,"92,64 %","65,93","69,03 %",-,-,-,-,-,-,-,-,0 %,-,"61,09 %",59,34
jegallardoga,ngabelocamil,"89,91 %","117,87","81,94 %",-,-,-,-,-,-,-,-,"0,39 %",0 %,"94,97 %",6,20
jegallardoga,pgalvez,"84,86 %","111,28","85,29 %",-,-,-,-,-,-,-,-,"0,66 %",-,"81,81 %",4,20
jegallardoga,rtorosanhuez,"101,61 %","148,67","71,64 %",-,-,-,-,-,-,-,-,"1,46 %",-,"56,6 %",8,19
jegallardoga,vhinostrozaz,"110,25 %","152,91","81,51 %",-,-,-,-,-,-,-,-,"0,72 %",-,"66,26 %",5,20
jegallardoga,vortegonbern,"113,95 %","82,23","83,58 %",-,-,-,-,-,-,-,-,0 %,-,"62,15 %",2,38
jegallardoga,yrojasfuente,"132,68 %","215,95","82,97 %",-,-,-,-,-,-,-,-,"0,14 %",-,"97,51 %",6,22
jegallardoga,ext_crmtorre,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"88,32 %",-,25
jegallardoga,ext_jearriaz,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"71,98 %",-,20
