Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"99,47 %","117,46","84,37 %",-,-,-,-,-,-,-,-,"0,8 %",-,"105,35 %",8,6
jegallardoga,cpintoarruza,"103,15 %","125,03","81,77 %",-,-,-,-,-,-,-,-,"0,83 %",0 %,"97,63 %",13,8
jegallardoga,ext_fujavier,"107,8 %","175,52","80,08 %",-,-,-,-,-,-,-,-,"1,09 %","33,33 %","94,5 %",7,20
jegallardoga,ext_hugvasqu,"104,51 %","134,82","85,11 %",-,-,-,-,-,-,-,-,"0,84 %",0 %,"97,56 %",8,16
jegallardoga,ext_macasos,"118,06 %","175,21","87,17 %",-,-,-,-,-,-,-,-,"0,55 %",50 %,"99,55 %",7,12
jegallardoga,ext_moserna,"115,07 %","184,34","79,08 %","106,69 %","199,49","85,64 %",-,-,-,-,-,"0,83 %",-,"81,15 %",7,10
jegallardoga,ext_nanyespi,"114,58 %","180,19","83,67 %",-,-,-,-,-,-,-,-,"3,85 %",0 %,"99,14 %",7,21
jegallardoga,ext_osgandar,"114,59 %","145,28","87,09 %",-,-,-,-,-,-,-,-,"1,68 %",0 %,"95,99 %",8,11
jegallardoga,ext_sagalaz,"98,87 %","157,84","88,11 %",-,-,-,-,-,-,-,-,"1,11 %",50 %,-,-,0
jegallardoga,ext_scannais,"127,69 %","177,04","87,48 %",-,-,-,-,-,-,-,-,"1,44 %",0 %,"95,85 %",7,15
jegallardoga,ext_toralfre,"111,11 %","174,83","86,68 %",-,-,-,-,-,-,-,-,"2,05 %",0 %,"70,16 %",7,10
jegallardoga,fmartinmanci,"92,62 %","106,17","86,47 %",-,-,-,-,-,-,-,-,"1,87 %",-,"103,61 %",7,10
jegallardoga,halvarezaran,"106,41 %","125,46","84,08 %",-,-,-,-,-,-,-,-,"0,45 %",0 %,"99,43 %",6,9
jegallardoga,jniriancurih,"121,08 %","193,95","85,14 %",-,-,-,-,-,-,-,-,"1,44 %",-,"105,29 %",7,10
jegallardoga,kcollaolazza,"117,2 %","144,11","85,15 %",-,-,-,-,-,-,-,-,"0,91 %",0 %,"92,83 %",8,-
jegallardoga,ngabelocamil,"97,45 %","113,11","85,46 %",-,-,-,-,-,-,-,-,"2,1 %",100 %,"99,68 %",6,20
jegallardoga,robarra,"152,01 %","110,35","87,98 %",-,-,-,-,-,-,-,-,0 %,-,"81,34 %",12,-
jegallardoga,yrojasfuente,"121,61 %","179,1","81,58 %",-,-,-,-,-,-,"199,47 %",-,"4,43 %",-,"90,58 %",15,17
