Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"92,97 %","111,2","82,39 %",-,-,-,-,-,-,-,-,"1,7 %",-,"103,94 %",7,-
jegallardoga,bmatoscastro,"112,89 %","125,01","89,89 %",-,-,-,-,-,-,-,-,"0,37 %",-,"104,38 %",7,0
jegallardoga,cpintoarruza,"103,89 %","125,42","81,87 %",-,-,-,-,-,-,-,-,"0,14 %",-,"93,24 %",42,-
jegallardoga,ext_algalarc,"104,54 %","138,76","83,84 %",-,-,-,-,-,-,-,-,"0,33 %",0 %,"105,41 %",4,-
jegallardoga,ext_arieandr,"102,3 %","134,7","81,91 %",-,-,-,-,-,-,-,-,"1,2 %",-,"101,19 %",7,-
jegallardoga,ext_beangulo,"118,21 %","164,08","86,48 %",-,-,-,-,-,-,-,-,"1,23 %",-,"97,89 %",5,-
jegallardoga,ext_conarave,"94,15 %","130,27","81,3 %",-,-,-,-,-,-,-,-,"0,89 %",-,-,-,-
jegallardoga,ext_crmtorre,"98,94 %","124,66","84,81 %",-,-,-,-,-,-,-,-,"0,24 %",-,"99,21 %",10,-
jegallardoga,ext_fujavier,"120,86 %","156,38","80,91 %",-,-,-,-,-,-,-,-,"1,27 %",0 %,"92,13 %",6,-
jegallardoga,ext_hugvasqu,"98,68 %","127,69","85,59 %",-,-,-,-,-,-,-,-,"0,49 %",-,"101,81 %",5,-
jegallardoga,ext_macasos,"110,75 %",161,"87,68 %",-,-,-,-,-,-,-,-,"1,37 %",-,"90,63 %",6,-
jegallardoga,ext_maripeti,"97,81 %","129,51","81,76 %",-,-,-,-,-,-,-,-,"0,75 %",-,"101,48 %",7,-
jegallardoga,ext_nanyespi,"107,76 %","120,49","85,48 %",-,-,-,-,-,-,-,-,"1,95 %",-,"100,55 %",6,-
jegallardoga,ext_osgandar,"117,15 %","158,29","87,94 %",-,-,-,-,-,-,-,-,"0,62 %",-,"93,63 %",6,-
jegallardoga,ext_sagalaz,"87,37 %","111,6","84,77 %",-,-,-,-,-,-,-,-,"0,42 %",-,"101,58 %",7,-
jegallardoga,ext_scannais,"112,09 %","134,31","88,85 %",-,-,-,-,-,-,-,-,"0,19 %",-,"97,19 %",8,0
jegallardoga,ext_seaspe,"119,27 %","149,26","86,58 %",-,-,-,-,-,-,-,-,"0,62 %",-,"101,35 %",6,-
jegallardoga,ext_toralfre,"104,87 %","130,11","88,6 %",-,-,-,-,-,-,-,-,"0,23 %",-,"101,9 %",6,-
jegallardoga,fmartinmanci,"88,93 %","100,1","87,66 %",-,-,-,-,-,-,-,-,"0,44 %",-,"104,28 %",6,-
jegallardoga,fsepulvedami,"107,16 %","145,98","79,63 %",-,-,-,-,-,-,-,-,"0,36 %",-,"100,65 %",6,-
jegallardoga,halvarezaran,"108,06 %","120,27","84,41 %",-,-,-,-,-,-,-,-,"0,4 %",-,"99,44 %",7,-
jegallardoga,irodriguezdo,"114,79 %","141,23","85,74 %",-,-,-,-,-,-,-,-,"0,22 %",-,"101,39 %",7,-
jegallardoga,jniriancurih,"120,74 %","188,35","88,91 %",-,-,-,-,-,-,-,-,"3,03 %",-,"102,14 %",6,-
jegallardoga,kcollaolazza,"148,67 %","177,66","89,41 %",-,-,-,-,-,-,-,-,"2,29 %",-,"99,4 %",6,-
jegallardoga,mlouisor,"101,72 %","87,89","77,89 %",-,-,-,-,-,-,-,-,0 %,-,"66,48 %",5,-
jegallardoga,ngabelocamil,"96,98 %","119,29","81,22 %",-,-,-,-,-,-,-,-,"0,7 %",-,"98,58 %",7,-
jegallardoga,robarra,"119,07 %","88,42","84,18 %",-,-,-,-,-,-,-,-,0 %,-,"91,25 %",9,-
jegallardoga,rtorosanhuez,"88,08 %","116,32","86,09 %",-,-,-,-,-,-,-,-,"1,17 %",-,"92,19 %",9,-
jegallardoga,vhinostrozaz,"138,69 %","219,12","87,09 %",-,-,-,-,-,-,-,-,"4,92 %",-,"96,62 %",6,-
jegallardoga,vortegonbern,"142,17 %","100,12",89 %,-,-,-,-,-,-,-,-,0 %,-,"67,94 %",-,-
jegallardoga,yrojasfuente,"109,29 %","153,06","75,05 %",-,-,-,-,-,-,-,-,"1,15 %",0 %,"63,69 %",7,-
jegallardoga,dgonzalezmol,-,-,-,-,-,-,-,-,-,-,-,-,-,"68,95 %",-,-
