Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"91,34 %","104,74","87,12 %",-,-,-,-,-,-,-,-,"0,95 %",-,"95,83 %",6,9
jegallardoga,aschmidtfern,"136,53 %","158,59","87,16 %",-,-,-,-,-,-,-,-,"0,58 %",-,"81,82 %",7,23
jegallardoga,cpintoarruza,"94,38 %","126,6","79,46 %",-,-,-,-,-,-,-,-,0 %,-,"80,66 %",5,29
jegallardoga,ext_arieandr,"103,65 %","140,16","82,29 %",-,-,-,-,-,-,-,-,"0,64 %",-,-,-,0
jegallardoga,ext_criarria,"113,49 %","115,37","80,79 %",-,-,-,-,-,-,-,-,"0,33 %",-,"79,83 %",10,16
jegallardoga,ext_hugvasqu,"119,13 %","138,7","82,67 %",-,-,-,-,-,-,-,-,0 %,-,"65,11 %",7,44
jegallardoga,ext_iaaranda,"107,51 %","91,44","80,61 %",-,-,-,-,-,-,-,-,"1,93 %",-,"98,52 %",6,8
jegallardoga,ext_jheespin,"70,97 %","80,9","70,01 %",-,-,-,-,-,-,-,-,"1,76 %",-,"94,79 %",8,10
jegallardoga,ext_maagullo,"120,27 %","112,71","79,82 %",-,-,-,-,-,-,-,-,"3,43 %",-,"100,05 %",9,11
jegallardoga,ext_nanyespi,"122,31 %","155,26","84,7 %",-,-,-,-,-,-,-,-,0 %,-,"85,26 %",6,23
jegallardoga,ext_sagalaz,"113,7 %","134,46","81,54 %",-,-,-,-,-,-,-,-,0 %,-,-,-,0
jegallardoga,ext_toralfre,"108,99 %","137,41","81,52 %",-,-,-,-,-,-,-,-,"1,68 %",-,"88,32 %",7,9
jegallardoga,fmartinmanci,"101,1 %","128,17","88,25 %",-,-,-,-,-,-,-,-,0 %,-,"85,4 %",7,30
jegallardoga,halvarezaran,"102,28 %","130,04","83,13 %",-,-,-,-,-,-,-,-,"0,68 %",-,"96,71 %",6,21
jegallardoga,irodriguezdo,"140,52 %","164,04","91,53 %",-,-,-,-,-,-,-,-,0 %,-,-,-,0
jegallardoga,ngabelocamil,"73,69 %","120,6","80,1 %",-,-,-,-,-,-,-,-,"2,57 %",-,"68,55 %",6,16
jegallardoga,ogandarillas,"147,42 %","226,68","89,48 %",-,-,-,-,-,-,-,-,"1,17 %",-,"79,44 %",6,29
jegallardoga,pgalvez,"104,8 %","131,35","84,46 %",-,-,-,-,-,-,-,-,"1,13 %",-,"84,92 %",6,11
jegallardoga,robarra,"108,21 %","165,59","82,8 %",-,-,-,-,-,-,-,-,"1,02 %",-,"54,49 %",13,20
jegallardoga,vhinostrozaz,"114,38 %","169,39","86,22 %",-,-,-,-,-,-,-,-,"1,2 %",-,-,-,34
jegallardoga,vortegonbern,"135,18 %","97,18","90,01 %",-,-,-,-,-,-,-,-,0 %,-,"84,84 %",3,18
jegallardoga,yrojasfuente,"105,96 %","174,17","75,44 %",-,-,-,-,-,-,-,-,"0,61 %",-,"42,47 %",7,-
