Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"90,46 %","113,4","85,6 %",-,-,-,-,-,-,-,-,"3,11 %",0 %,"98,26 %",8,7
jegallardoga,cpintoarruza,"93,33 %","112,21","86,27 %",-,-,-,-,-,-,-,-,"0,63 %",0 %,"77,88 %",6,11
jegallardoga,dgonzalezmol,"100,1 %","132,8","87,03 %",-,-,-,-,-,-,-,-,"0,54 %",0 %,-,-,0
jegallardoga,ext_beangulo,"119,77 %","202,93","83,4 %",-,-,-,-,-,-,-,-,"3,08 %",0 %,"36,45 %",4,-
jegallardoga,ext_cabiott,"68,21 %","122,91","79,79 %",-,-,-,-,-,-,-,-,"13,06 %",-,-,-,-
jegallardoga,ext_fujavier,"129,6 %","195,96","83,7 %",-,-,-,-,-,-,-,-,"1,1 %",0 %,"46,19 %",4,-
jegallardoga,ext_hugvasqu,"97,94 %","166,26","78,02 %",-,-,-,-,-,-,-,-,"3,42 %",0 %,"53,14 %",7,33
jegallardoga,ext_macasos,"100,86 %","174,29","82,21 %",-,-,-,-,-,-,-,-,"1,36 %",0 %,"36,15 %",6,-
jegallardoga,ext_mucarla,"99,32 %","130,68","90,04 %",-,-,-,-,-,-,-,-,"2,64 %",-,"103,37 %",4,7
jegallardoga,ext_nanyespi,"97,82 %","183,46","76,86 %",-,-,-,-,-,-,-,-,"1,44 %",-,"58,12 %",6,-
jegallardoga,ext_osgandar,"112,75 %","134,99","84,77 %",-,-,-,-,-,-,-,-,"1,42 %",-,"94,77 %",7,47
jegallardoga,ext_riahumad,"105,08 %","127,38","86,91 %",-,-,-,-,-,-,-,-,"0,82 %",-,"104,09 %",7,14
jegallardoga,ext_scannais,"125,17 %","161,44","84,16 %",-,-,-,-,-,-,-,-,"0,2 %",-,"43,55 %",-,-
jegallardoga,fmartinmanci,"92,94 %","128,61","81,53 %",-,-,-,-,-,-,-,-,"1,02 %",0 %,"99,87 %",5,9
jegallardoga,halvarezaran,"105,59 %","149,73","86,1 %",-,-,-,-,-,-,-,-,"1,73 %",-,"68,85 %",8,-
jegallardoga,jniriancurih,"135,64 %","209,96","89,29 %","75,6 %","139,09","89,24 %",-,-,-,-,-,"1,43 %",-,"72,94 %",5,10
jegallardoga,kcollaolazza,"133,71 %","181,12","87,48 %",-,-,-,-,-,-,-,-,"0,64 %",-,"69,72 %",5,10
jegallardoga,ngabelocamil,"94,15 %","111,98","80,83 %",-,-,-,-,-,-,-,-,"0,71 %",0 %,"91,88 %",8,27
jegallardoga,vortegonbern,"126,64 %","92,29","89,59 %",-,-,-,-,-,-,-,-,0 %,-,"66,07 %",3,13
jegallardoga,yrojasfuente,"131,08 %","215,94","85,82 %",-,-,-,-,-,-,"156,57 %",-,"0,32 %",-,"61,33 %",11,-
