Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"90,59 %","126,45","78,81 %",-,-,-,-,-,-,-,-,0 %,-,"98,09 %",26,-
jegallardoga,aschmidtfern,"132,13 %","162,09","89,12 %",-,-,-,-,-,-,-,-,"0,1 %",-,"93,34 %",6,-
jegallardoga,bmatoscastro,"99,92 %","114,92","87,29 %",-,-,-,-,-,-,-,-,"3,63 %",0 %,"92,41 %",7,-
jegallardoga,cpintoarruza,"110,91 %","134,8","87,82 %",-,-,-,-,-,-,-,-,"0,67 %",-,"101,36 %",6,-
jegallardoga,crojashidalg,"168,33 %","108,85","95,44 %",-,-,-,-,-,-,-,-,0 %,-,"68,13 %",3,-
jegallardoga,dgonzalezmol,"77,92 %","49,42","85,12 %",-,-,-,-,-,-,-,-,0 %,-,"99,91 %",-,-
jegallardoga,ext_ailynrod,"16,64 %","35,67","27,34 %",-,-,-,-,-,-,-,-,0 %,-,-,-,5
jegallardoga,ext_arieandr,"105,56 %","132,99","84,5 %",-,-,-,-,-,-,-,-,"0,93 %",-,"88,94 %",19,-
jegallardoga,ext_conrocha,"48,52 %","71,39","42,87 %",-,-,-,-,-,-,-,-,0 %,-,-,-,16
jegallardoga,ext_consaez,"25,56 %","50,17","37,42 %",-,-,-,-,-,-,-,-,0 %,-,-,-,13
jegallardoga,ext_criarria,"102,26 %","89,28","77,48 %",-,-,-,-,-,-,-,-,"2,64 %",-,"91,21 %",39,-
jegallardoga,ext_crmtorre,"108,8 %","137,55","85,45 %",-,-,-,-,-,-,-,-,"0,78 %",-,"102,4 %",7,-
jegallardoga,ext_fujavier,"105,88 %","154,11","80,89 %",-,-,-,-,-,-,-,-,"2,83 %",0 %,"80,36 %",8,-
jegallardoga,ext_hugvasqu,"126,61 %","138,94","86,37 %",-,-,-,-,-,-,-,-,"0,74 %",-,"91,46 %",7,-
jegallardoga,ext_iaaranda,"95,17 %","79,71","79,34 %",-,-,-,-,-,-,-,-,"3,05 %",-,"96,33 %",20,-
jegallardoga,ext_jheespin,"81,28 %","73,7","76,78 %",-,-,-,-,-,-,-,-,"0,69 %",-,"101,33 %",13,9
jegallardoga,ext_maagullo,"106,08 %",100,"81,81 %",-,-,-,-,-,-,-,-,"2,07 %",-,"102,56 %",10,-
jegallardoga,ext_nanyespi,"127,01 %","154,92","88,42 %",-,-,-,-,-,-,-,-,"1,1 %",-,"89,6 %",6,-
jegallardoga,ext_nicoyarz,"103,57 %","81,79","81,92 %",-,-,-,-,-,-,-,-,"0,78 %",100 %,-,-,-
jegallardoga,ext_pocornej,"42,17 %","64,81","41,04 %",-,-,-,-,-,-,-,-,"6,45 %",-,-,-,-
jegallardoga,ext_sagalaz,"100,1 %",114,"88,42 %",-,-,-,-,-,-,-,-,"1,52 %",-,"88,15 %",6,-
jegallardoga,ext_sebastfa,"83,06 %","82,31","59,03 %",-,-,-,-,-,-,-,-,"3,28 %",-,-,-,0
jegallardoga,fmartinmanci,"115,36 %","123,13","88,7 %",-,-,-,-,-,-,-,-,0 %,-,"90,62 %",8,-
jegallardoga,fsepulvedami,"139,82 %","152,46","86,74 %",-,-,-,-,-,-,-,-,"1,06 %",-,"57,34 %",7,-
jegallardoga,halvarezaran,"98,49 %","120,98","87,26 %",-,-,-,-,-,-,-,-,"0,42 %",-,"91,19 %",6,-
jegallardoga,irodriguezdo,"118,1 %","141,28","90,41 %",-,-,-,-,-,-,-,-,"1,16 %",-,"91,3 %",7,-
jegallardoga,kcollaolazza,"119,73 %","179,45","85,34 %",-,-,-,"75,34 %","297,2","66,69 %",-,-,"4,81 %",-,"72,92 %",6,-
jegallardoga,mlouisor,"103,48 %","72,71","89,73 %",-,-,-,-,-,-,-,-,0 %,-,"70,27 %",18,-
jegallardoga,ngabelocamil,"94,68 %","123,76","82,85 %",-,-,-,-,-,-,-,-,"0,82 %",-,"95,99 %",17,-
jegallardoga,ogandarillas,"101,26 %","159,22","85,07 %",-,-,-,-,-,-,-,-,"0,82 %",0 %,"89,57 %",6,-
jegallardoga,omezavilches,"115,87 %","182,47","87,37 %",-,-,-,-,-,-,-,-,"0,47 %",0 %,"102,76 %",6,-
jegallardoga,pgalvez,"104,87 %","123,92","90,53 %",-,-,-,-,-,-,-,-,"3,54 %",-,"88,31 %",6,-
jegallardoga,robarra,"96,59 %","65,03","93,01 %",-,-,-,-,-,-,-,-,0 %,-,"96,97 %",7,-
jegallardoga,rtorosanhuez,"95,63 %","133,54","74,38 %",-,-,-,-,-,-,-,-,"3,61 %",-,"22,32 %",10,-
jegallardoga,vhinostrozaz,"113,68 %","170,43","85,88 %",-,-,-,-,-,-,-,-,"2,56 %",-,"79,89 %",8,-
jegallardoga,vortegonbern,"108,51 %","60,39","92,89 %",-,-,-,-,-,-,-,-,0 %,-,"60,57 %",4,-
jegallardoga,yrojasfuente,"111,57 %","164,17","82,37 %",-,-,-,-,-,-,-,-,"2,21 %",0 %,"93,14 %",6,45
jegallardoga,apajaromerla,-,-,0 %,"129,82 %","139,27","82,92 %",-,-,-,-,-,-,-,"64,23 %",-,-
jegallardoga,ext_agquezad,-,-,0 %,-,-,-,-,-,-,-,-,-,-,-,-,-
jegallardoga,ext_beavello,-,-,0 %,-,-,-,-,-,-,-,-,-,-,-,-,-
jegallardoga,ext_carmefig,-,-,0 %,-,-,-,-,-,-,-,-,-,-,-,-,-
jegallardoga,ext_crsaldia,-,-,0 %,-,-,-,-,-,-,-,-,-,-,-,-,-
jegallardoga,ext_jearriaz,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"54,78 %",-,-
jegallardoga,ext_solcabez,-,-,0 %,-,-,-,-,-,-,-,-,-,-,-,-,-
jegallardoga,ext_toralfre,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"58,21 %",-,-
jegallardoga,mcasosdiaz,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"57,11 %",-,-
