Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"98,01 %",111,"90,98 %",-,-,-,-,-,-,-,-,"2,59 %",-,"102,36 %",7,-
jegallardoga,apajaromerla,"90,89 %","140,93","86,48 %",-,-,-,-,-,-,-,-,"2,15 %",-,"102,04 %",8,58
jegallardoga,aschmidtfern,"109,42 %","158,59","85,6 %",-,-,-,-,-,-,-,-,0 %,-,"104,89 %",9,-
jegallardoga,bmatoscastro,"94,83 %","116,42","86,16 %",-,-,-,-,-,-,-,-,"1,68 %",0 %,"98,66 %",8,-
jegallardoga,cpintoarruza,"92,93 %","112,74","85,22 %",-,-,-,-,-,-,-,-,"4,55 %",0 %,"96,29 %",8,-
jegallardoga,crojashidalg,"85,46 %","59,42","89,55 %",-,-,-,-,-,-,-,-,0 %,-,"49,24 %",12,-
jegallardoga,ext_arieandr,"87,85 %","128,08","85,34 %",-,-,-,-,-,-,-,-,"1,57 %",-,"95,81 %",8,-
jegallardoga,ext_beavello,"83,44 %","106,13","80,18 %",-,-,-,-,-,-,-,-,0 %,0 %,"98,32 %",12,-
jegallardoga,ext_conrocha,"106,79 %","117,32","84,31 %",-,-,-,-,-,-,-,-,"1,87 %",100 %,"96,87 %",13,-
jegallardoga,ext_consaez,"69,76 %","100,36","80,76 %",-,-,-,-,-,-,-,-,"6,09 %",-,"103,63 %",9,40
jegallardoga,ext_criarria,"86,13 %","97,04","84,46 %",-,-,-,-,-,-,-,-,"1,74 %",-,"99,14 %",8,-
jegallardoga,ext_crmtorre,"85,84 %","109,62","83,97 %",-,-,-,-,-,-,-,-,"1,67 %",-,"100,37 %",9,-
jegallardoga,ext_crsaldia,"101,28 %","145,74","85,93 %",-,-,-,-,-,-,-,-,"0,39 %",-,"103,59 %",6,-
jegallardoga,ext_hugvasqu,"107,92 %","123,79","89,89 %",-,-,-,-,-,-,-,-,"2,39 %",0 %,"100,76 %",7,-
jegallardoga,ext_iaaranda,"74,38 %","86,73","80,14 %",-,-,-,-,-,-,-,-,"2,24 %",0 %,"105,53 %",9,-
jegallardoga,ext_jheespin,"67,56 %","77,41","85,68 %",-,-,-,-,-,-,-,-,"1,49 %",0 %,"103,77 %",8,-
jegallardoga,ext_maagullo,"78,53 %","89,75","85,49 %",-,-,-,-,-,-,-,-,"2,1 %",0 %,100 %,8,45
jegallardoga,ext_nicoyarz,"67,34 %","80,3","81,79 %",-,-,-,-,-,-,-,-,"3,94 %",-,-,-,-
jegallardoga,ext_pocornej,"73,36 %","77,8","84,89 %",-,-,-,-,-,-,-,-,"2,46 %",-,"102,47 %",12,-
jegallardoga,ext_sagalaz,"106,66 %","122,73","90,11 %",-,-,-,-,-,-,-,-,"2,88 %",-,"100,09 %",10,-
jegallardoga,ext_sebastfa,"98,06 %","107,72","82,46 %",-,-,-,-,-,-,-,-,"2,47 %",50 %,"81,52 %",-,-
jegallardoga,ext_solcabez,73 %,"96,28","74,72 %",-,-,-,-,-,-,-,-,"1,38 %",-,"101,73 %",10,-
jegallardoga,fmartinmanci,"96,41 %","109,53","89,65 %",-,-,-,-,-,-,-,-,"1,69 %",-,"99,57 %",8,-
jegallardoga,fsepulvedami,"101,86 %","131,93","88,03 %",-,-,-,-,-,-,-,-,"1,15 %",-,"97,93 %",8,-
jegallardoga,halvarezaran,"79,8 %","99,11","84,1 %",-,-,-,-,-,-,-,-,"3,25 %",-,"94,89 %",14,-
jegallardoga,iquezadaland,"94,94 %","97,8","55,98 %",-,-,-,-,-,-,-,-,"1,45 %",-,-,-,-
jegallardoga,irodriguezdo,"105,45 %","167,52","90,9 %",-,-,-,-,-,-,-,-,"3,44 %",-,"100,95 %",7,-
jegallardoga,jniriancurih,"118,8 %","186,54","91,96 %",-,-,-,-,-,-,-,-,"5,11 %",-,"96,66 %",7,-
jegallardoga,kcollaolazza,"100,27 %","163,47","88,57 %",-,-,-,-,-,-,-,-,0 %,-,"93,33 %",8,-
