Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"89,57 %","115,66","83,9 %",-,-,-,-,-,-,-,-,"0,26 %",-,"105,05 %",7,-
jegallardoga,apajaromerla,"109,94 %","138,91","86,57 %",-,-,-,-,-,-,-,-,0 %,-,"101,44 %",5,-
jegallardoga,aschmidtfern,"106,73 %","155,62","87,68 %",-,-,-,-,-,-,-,-,"0,21 %",-,-,-,-
jegallardoga,bmatoscastro,"120,98 %","131,19","88,5 %",-,-,-,-,-,-,-,-,"0,79 %",-,"101,02 %",6,-
jegallardoga,cpintoarruza,"98,21 %","119,18","85,19 %",-,-,-,-,-,-,-,-,"0,52 %",-,"102,79 %",6,-
jegallardoga,crojashidalg,"108,13 %","72,15","92,49 %",-,-,-,-,-,-,-,-,0 %,-,"79,8 %",10,-
jegallardoga,dgonzalezmol,"81,55 %","80,72","76,82 %",-,-,-,-,-,-,-,-,0 %,-,"88,44 %",-,-
jegallardoga,ext_arieandr,"93,17 %","118,72","84,99 %",-,-,-,-,-,-,-,-,"0,14 %",-,"97,84 %",7,-
jegallardoga,ext_beangulo,"98,11 %","154,76","81,94 %",-,-,-,-,-,-,-,-,"1,34 %",-,"95,05 %",6,-
jegallardoga,ext_criarria,"23,16 %","58,85","44,05 %",-,-,-,-,-,-,-,-,0 %,-,"30,17 %",-,22
jegallardoga,ext_crmtorre,"98,76 %","131,39","81,88 %",-,-,-,-,-,-,-,-,"0,12 %",-,"103,25 %",7,-
jegallardoga,ext_iaaranda,"13,24 %","59,15","26,09 %",-,-,-,-,-,-,-,-,0 %,-,"18,35 %",-,19
jegallardoga,ext_ivganora,"2,36 %","38,5","6,55 %",-,-,-,-,-,-,-,-,0 %,-,"10,73 %",-,-
jegallardoga,ext_jearriaz,"94,65 %","146,9","83,68 %",-,-,-,-,-,-,-,-,"2,53 %",-,"91,13 %",6,-
jegallardoga,ext_jheespin,"5,92 %","46,22","14,93 %",-,-,-,-,-,-,-,-,0 %,-,"17,73 %",-,30
jegallardoga,ext_maagullo,"20,85 %","58,97","41,22 %",-,-,-,-,-,-,-,-,0 %,-,"23,67 %",-,24
jegallardoga,ext_nanyespi,"95,71 %","138,31","87,44 %",-,-,-,-,-,-,-,-,"1,73 %",-,"102,84 %",5,-
jegallardoga,ext_nicoyarz,"18,94 %","49,48","39,72 %",-,-,-,-,-,-,-,-,0 %,-,-,-,-
jegallardoga,ext_pabjana,"27,22 %","68,26","44,82 %",-,-,-,-,-,-,-,-,0 %,-,"27,92 %",-,14
jegallardoga,ext_sagalaz,"100,21 %","107,29","89,43 %",-,-,-,-,-,-,-,-,0 %,-,"101,43 %",9,-
jegallardoga,ext_toklenne,"32,01 %","74,98","48,19 %",-,-,-,-,-,-,-,-,0 %,-,-,-,-
jegallardoga,ext_toralfre,106 %,"167,23","87,98 %",-,-,-,-,-,-,-,-,"1,68 %",-,"102,3 %",6,-
jegallardoga,ext_valesper,"11,7 %","38,04","31,91 %",-,-,-,-,-,-,-,-,0 %,-,"18,89 %",-,24
jegallardoga,fmartinmanci,"101,42 %","125,93","88,01 %",-,-,-,-,-,-,-,-,"0,12 %",-,"103,26 %",7,-
jegallardoga,fsepulvedami,"104,44 %","155,05","84,88 %",-,-,-,-,-,-,-,-,"1,17 %",-,"95,99 %",6,-
jegallardoga,halvarezaran,"113,64 %","143,39","83,85 %",-,-,-,-,-,-,-,-,"0,11 %",-,"102,93 %",5,-
jegallardoga,irodriguezdo,"93,39 %","115,42","88,33 %",-,-,-,-,-,-,-,-,"0,83 %",-,"96,15 %",8,-
jegallardoga,jniriancurih,"88,13 %","107,44","90,18 %",-,-,-,-,-,-,-,-,0 %,-,"100,66 %",6,-
jegallardoga,kcollaolazza,"101,4 %","154,94","83,03 %",-,-,-,-,-,-,-,-,"0,36 %",-,"79,5 %",5,-
jegallardoga,mcasosdiaz,"129,85 %","154,32","90,14 %",-,-,-,-,-,-,-,-,"0,81 %",-,-,-,-
jegallardoga,mlouisor,"69,92 %","53,12","85,79 %",-,-,-,-,-,-,-,-,0 %,-,"61,24 %",7,-
jegallardoga,ngabelocamil,"95,79 %","123,45","83,86 %",-,-,-,-,-,-,-,-,"0,27 %",-,"97,29 %",21,-
jegallardoga,ogandarillas,"99,94 %","151,02","85,41 %",-,-,-,-,-,-,-,-,"1,05 %",-,-,7,-
jegallardoga,omezavilches,"123,38 %","144,83","91,02 %",-,-,-,-,-,-,-,-,"2,1 %",-,"102,02 %",6,-
jegallardoga,pgalvez,"106,54 %","128,98","89,43 %",-,-,-,-,-,-,-,-,"1,07 %",-,"97,42 %",5,-
jegallardoga,robarra,"94,38 %","65,64","88,71 %",-,-,-,-,-,-,-,-,0 %,-,"58,47 %",9,-
jegallardoga,rtorosanhuez,"94,58 %","161,81","82,07 %",-,-,-,-,-,-,-,-,"0,12 %",-,"85,07 %",9,-
jegallardoga,vhinostrozaz,"116,52 %","155,38","90,32 %",-,-,-,-,-,-,-,-,"0,86 %",-,"88,86 %",6,-
jegallardoga,vortegonbern,"105,26 %","69,2","93,86 %",-,-,-,-,-,-,-,-,0 %,-,"80,12 %",3,-
jegallardoga,yrojasfuente,"107,45 %","160,37","82,65 %",-,-,-,-,-,-,-,-,"0,73 %",-,"98,16 %",7,31
