Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"92,22 %","119,39","84,96 %",-,-,-,-,-,-,-,-,0 %,-,"104,22 %",6,-
jegallardoga,apajaromerla,"108,49 %","161,89","86,73 %",-,-,-,-,-,-,-,-,"0,56 %",-,"103,46 %",5,-
jegallardoga,bmatoscastro,"110,89 %","140,09","85,99 %",-,-,-,-,-,-,-,-,"0,62 %",0 %,"101,23 %",16,-
jegallardoga,cpintoarruza,"107,64 %","138,11","85,73 %",-,-,-,-,-,-,-,-,"0,22 %",0 %,"102,64 %",4,-
jegallardoga,crojashidalg,"123,61 %","71,14","88,15 %",-,-,-,-,-,-,-,-,0 %,-,"93,31 %",13,-
jegallardoga,dgonzalezmol,"137,89 %","105,05","81,71 %",-,-,-,-,-,-,-,-,0 %,-,"88,29 %",-,-
jegallardoga,ext_algalarc,"114,82 %","146,89","84,8 %",-,-,-,-,-,-,-,-,"0,32 %",-,"101,28 %",8,-
jegallardoga,ext_arieandr,"104,34 %","135,26","83,27 %",-,-,-,-,-,-,-,-,"0,42 %",-,"101,94 %",8,-
jegallardoga,ext_beangulo,"123,66 %","156,97","86,55 %",-,-,-,-,-,-,-,-,"1,11 %",-,"98,64 %",6,-
jegallardoga,ext_conarave,"98,19 %","128,72","83,53 %",-,-,-,-,-,-,-,-,"0,12 %",-,-,-,-
jegallardoga,ext_crmtorre,"100,75 %","129,9","84,72 %",-,-,-,-,-,-,-,-,"0,25 %",-,"98,01 %",20,-
jegallardoga,ext_fujavier,"108,67 %","178,72","82,14 %",-,-,-,-,-,-,-,-,"0,95 %",-,"97,13 %",7,-
jegallardoga,ext_hugvasqu,"119,57 %","133,73","85,62 %",-,-,-,-,-,-,-,-,"0,23 %",-,"103,26 %",6,-
jegallardoga,ext_jearriaz,"100,84 %","135,8","81,29 %",-,-,-,-,-,-,-,-,"0,62 %",-,"97,84 %",7,-
jegallardoga,ext_lucazamo,"88,18 %","113,82","85,23 %",-,-,-,-,-,-,-,-,"0,97 %",-,-,-,-
jegallardoga,ext_macasos,"108,28 %","156,06","86,19 %",-,-,-,-,-,-,-,-,"3,12 %",-,"99,27 %",5,-
jegallardoga,ext_osgandar,118 %,"147,04","84,81 %",-,-,-,-,-,-,-,-,"0,76 %",-,"99,58 %",7,-
jegallardoga,ext_sagalaz,"94,93 %","138,42","82,94 %",-,-,-,-,-,-,-,-,"3,15 %",-,"100,5 %",4,-
jegallardoga,ext_scannais,"116,22 %","127,29","87,38 %",-,-,-,-,-,-,-,-,"0,48 %",-,"100,71 %",7,-
jegallardoga,ext_seaspe,"141,3 %","158,33","87,14 %",-,-,-,-,-,-,-,-,0 %,-,"103,13 %",-,-
jegallardoga,ext_toralfre,"113,3 %","184,21","82,79 %",-,-,-,-,-,-,-,-,"0,17 %",-,"102,52 %",7,-
jegallardoga,fmartinmanci,"94,33 %","115,16","90,1 %",-,-,-,-,-,-,-,-,"0,12 %",-,"106,61 %",4,-
jegallardoga,fsepulvedami,"122,59 %","154,33","88,29 %",-,-,-,-,-,-,-,-,0 %,-,"99,42 %",20,-
jegallardoga,halvarezaran,"96,49 %","126,08","82,48 %",-,-,-,-,-,-,-,-,"0,13 %",0 %,"100,18 %",5,-
jegallardoga,irodriguezdo,"112,63 %","132,97","90,68 %",-,-,-,-,-,-,-,-,"0,84 %",0 %,"101,42 %",4,-
jegallardoga,jniriancurih,"123,77 %","136,2","86,97 %",-,-,-,-,-,-,-,-,"0,33 %",-,"102,67 %",5,-
jegallardoga,kcollaolazza,"124,86 %","196,9","87,42 %",-,-,-,-,-,-,-,-,"1,96 %",-,"103,92 %",4,-
jegallardoga,mlouisor,"104,48 %","80,56","83,94 %",-,-,-,-,-,-,-,-,0 %,-,"83,94 %",7,-
jegallardoga,ngabelocamil,"109,38 %","136,25","86,51 %",-,-,-,-,-,-,-,-,"0,58 %",100 %,"98,03 %",7,-
jegallardoga,pgalvez,"96,87 %","124,64","83,97 %",-,-,-,-,-,-,-,-,"0,66 %",-,0 %,-,-
jegallardoga,robarra,"133,93 %","92,73","90,12 %",-,-,-,-,-,-,-,-,0 %,-,"95,52 %",7,-
jegallardoga,rtorosanhuez,"102,09 %","134,78","78,67 %",-,-,-,-,-,-,-,-,0 %,-,"77,02 %",5,-
jegallardoga,vhinostrozaz,"144,5 %","214,4","84,7 %",-,-,-,-,-,-,-,-,"1,97 %",-,"96,21 %",5,-
jegallardoga,vortegonbern,"144,84 %","101,69","88,76 %",-,-,-,-,-,-,-,-,0 %,-,"36,46 %",3,-
jegallardoga,yrojasfuente,"111,95 %","183,71","76,56 %",-,-,-,-,-,-,-,-,"0,56 %",-,"97,92 %",6,-
