Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,aschmidtfern,"124,93 %","167,3","87,1 %",-,-,-,-,-,-,-,-,"0,95 %",100 %,0 %,5,17
jegallardoga,bmatoscastro,"102,04 %","144,9","82,68 %",-,-,-,-,-,-,-,-,"1,73 %",0 %,0 %,7,10
jegallardoga,crojashidalg,"90,73 %","53,31","94,81 %",-,-,-,-,-,-,-,-,0 %,-,0 %,2,34
jegallardoga,ext_arieandr,"111,16 %","138,95","88,46 %",-,-,-,-,-,-,-,-,"2,04 %",50 %,0 %,-,9
jegallardoga,ext_carmefig,"106,66 %","90,69","78,23 %",-,-,-,-,-,-,-,-,"2,95 %",-,0 %,22,11
jegallardoga,ext_consaez,"81,07 %","79,85","69,2 %",-,-,-,-,-,-,-,-,"1,43 %",-,-,13,0
jegallardoga,ext_crmtorre,"112,17 %","146,71","83,48 %",-,-,-,-,-,-,-,-,0 %,0 %,0 %,1,11
jegallardoga,ext_crsaldia,"136,6 %","134,25","84,33 %",-,-,-,-,-,-,-,-,"1,79 %",-,-,6,0
jegallardoga,ext_jearriaz,"103,78 %","137,97","82,08 %",-,-,-,-,-,-,-,-,"0,92 %","33,33 %",0 %,1,10
jegallardoga,ext_pocornej,"87,16 %","78,46","72,64 %",-,-,-,-,-,-,-,-,"9,42 %",-,0 %,18,10
jegallardoga,ext_sagalaz,"91,45 %","120,8","82,57 %",-,-,-,-,-,-,-,-,"2,77 %",0 %,0 %,5,11
jegallardoga,ext_solcabez,"92,07 %","92,1","70,22 %",-,-,-,-,-,-,-,-,"2,06 %",100 %,0 %,15,10
jegallardoga,fsepulvedami,"105,86 %","149,29","82,97 %",-,-,-,-,-,-,-,-,"1,4 %",25 %,-,4,0
jegallardoga,irodriguezdo,"117,5 %","145,26","87,81 %",-,-,-,-,-,-,-,-,"1,02 %",-,0 %,5,10
jegallardoga,mcasosdiaz,"112,81 %","156,21","89,34 %",-,-,-,-,-,-,-,-,0 %,0 %,0 %,9,12
jegallardoga,mlouisor,"95,57 %","66,34","91,75 %",-,-,-,-,-,-,-,-,0 %,0 %,0 %,4,24
jegallardoga,omezavilches,"108,07 %","163,68","87,2 %",-,-,-,-,-,-,-,-,"5,58 %",0 %,0 %,4,12
jegallardoga,robarra,"93,84 %","66,98","88,62 %",-,-,-,-,-,-,-,-,0 %,-,-,8,0
jegallardoga,rtorosanhuez,"106,87 %","166,51","87,55 %",-,-,-,-,-,-,-,-,"3,54 %",0 %,0 %,10,10
jegallardoga,vhinostrozaz,"147,7 %","214,61","91,59 %",-,-,-,-,-,-,-,-,"2,78 %",0 %,0 %,9,12
