Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"90,72 %","119,21","84,37 %",-,-,-,-,-,-,-,-,"0,69 %",0 %,"102,14 %",8,9
jegallardoga,apajaromerla,"97,2 %","135,51","86,36 %",-,-,-,-,-,-,-,-,"2,34 %",-,"100,41 %",8,7
jegallardoga,aschmidtfern,"122,82 %","154,3","86,85 %",-,-,-,-,-,-,-,-,"0,55 %",0 %,"95,93 %",7,18
jegallardoga,bmatoscastro,"101,95 %","150,39","78,07 %",-,-,-,-,-,-,-,-,"0,92 %",-,"101,09 %",12,8
jegallardoga,cpintoarruza,"104,45 %","132,34","83,74 %",-,-,-,-,-,-,-,-,"0,63 %",0 %,"101,56 %",9,9
jegallardoga,dgonzalezmol,"62,4 %","89,95","72,65 %",-,-,-,-,-,-,-,-,0 %,-,"84,12 %",-,-
jegallardoga,ext_arieandr,"98,03 %",125,"86,08 %",-,-,-,-,-,-,-,-,0 %,-,"75,53 %",9,9
jegallardoga,ext_beangulo,"131,99 %","212,68","86,41 %",-,-,-,-,-,-,-,-,"2,61 %",50 %,"93,72 %",8,20
jegallardoga,ext_criarria,"71,04 %","93,02","73,39 %",-,-,-,-,-,-,-,-,"0,2 %",100 %,"87,36 %",-,12
jegallardoga,ext_crmtorre,"96,26 %","135,69","78,32 %",-,-,-,-,-,-,-,-,0 %,-,"103,99 %",10,10
jegallardoga,ext_hugvasqu,"107,41 %","121,84","87,37 %",-,-,-,-,-,-,-,-,"0,55 %",-,"101,76 %",9,10
jegallardoga,ext_iaaranda,"68,08 %","68,7","76,14 %",-,-,-,-,-,-,-,-,0 %,50 %,"77,45 %",-,13
jegallardoga,ext_jearriaz,"87,77 %","119,31","80,85 %",-,-,-,-,-,-,-,-,"0,75 %",-,"98,8 %",9,10
jegallardoga,ext_jheespin,"56,04 %","64,28","66,91 %",-,-,-,-,-,-,-,-,"4,22 %",0 %,"85,07 %",-,14
jegallardoga,ext_maagullo,"71,58 %","98,08","71,54 %",-,-,-,-,-,-,-,-,"2,51 %",100 %,"87,53 %",-,11
jegallardoga,ext_nicoyarz,"74,82 %","66,5","76,49 %",-,-,-,-,-,-,-,-,"4,14 %",-,-,-,-
jegallardoga,ext_pabjana,"59,36 %","61,7","78,42 %",-,-,-,-,-,-,-,-,"2,25 %",-,"87,41 %",-,11
jegallardoga,ext_toralfre,"124,18 %","195,84","86,86 %",-,-,-,-,-,-,-,-,"2,96 %",0 %,"103,61 %",13,9
jegallardoga,fmartinmanci,"103,41 %","127,25","82,99 %",-,-,-,-,-,-,-,-,"0,22 %",0 %,"101,44 %",8,10
jegallardoga,fsepulvedami,"108,35 %","164,04","82,09 %",-,-,-,-,-,-,-,-,"1,12 %",50 %,"102,33 %",9,10
jegallardoga,halvarezaran,"87,27 %","118,47","80,79 %",-,-,-,-,-,-,-,-,"0,36 %",0 %,"102,1 %",7,10
jegallardoga,irodriguezdo,"102,56 %","131,11","84,26 %",-,-,-,-,-,-,-,-,"1,67 %",0 %,"70,75 %",52,-
jegallardoga,jniriancurih,"102,33 %","135,37","84,07 %",-,-,-,-,-,-,-,-,"1,14 %",-,"100,99 %",8,10
jegallardoga,kcollaolazza,"113,63 %","185,3","84,38 %",-,-,-,-,-,-,-,-,"1,44 %",-,"88,73 %",9,-
jegallardoga,mcasosdiaz,"100,13 %","124,03","87,8 %",-,-,-,-,-,-,-,-,"2,04 %",100 %,"96,12 %",7,10
jegallardoga,mlouisor,"76,53 %","58,31","83,11 %",-,-,-,-,-,-,-,-,0 %,0 %,"69,15 %",6,-
jegallardoga,ngabelocamil,"86,81 %","113,44","83,92 %",-,-,-,-,-,-,-,-,"1,13 %",0 %,"99,35 %",8,12
jegallardoga,ogandarillas,"95,02 %","120,19","85,95 %",-,-,-,-,-,-,-,-,"2,63 %",-,"57,29 %",7,11
jegallardoga,omezavilches,"103,38 %","129,09","86,89 %",-,-,-,-,-,-,-,-,"2,93 %",100 %,"100,99 %",7,11
jegallardoga,pgalvez,"104,66 %","129,51","87,62 %",-,-,-,-,-,-,-,-,"2,52 %",50 %,"91,07 %",6,6
jegallardoga,robarra,"101,11 %","68,73","92,04 %",-,-,-,-,-,-,-,-,0 %,0 %,"84,51 %",5,-
jegallardoga,rtorosanhuez,"102,54 %","162,42","82,73 %",-,-,-,-,-,-,-,-,"1,21 %",-,"72,85 %",9,-
jegallardoga,vhinostrozaz,"129,01 %","205,06","85,81 %",-,-,-,-,-,-,-,-,"0,25 %",0 %,"84,26 %",8,-
jegallardoga,vortegonbern,"102,56 %","70,19","92,87 %",-,-,-,-,-,-,-,-,0 %,0 %,"88,02 %",2,18
jegallardoga,yrojasfuente,"110,33 %","170,39","81,07 %",-,-,-,-,-,-,-,-,"0,68 %",0 %,"76,29 %",10,-
jegallardoga,ext_nanyespi,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"21,83 %",-,14
jegallardoga,ext_sagalaz,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"24,8 %",-,11
jegallardoga,ext_toklenne,-,-,0 %,-,-,-,-,-,-,-,-,-,-,-,-,-
