Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"80,18 %","92,41","85,32 %",-,-,-,-,-,-,-,-,"0,99 %",-,"103,94 %",7,-
jegallardoga,apajaromerla,"91,64 %","108,99","92,53 %",-,-,-,-,-,-,-,-,"1,32 %",0 %,"101,42 %",5,-
jegallardoga,bmatoscastro,"104,03 %","127,27","89,6 %",-,-,-,-,-,-,-,-,0 %,-,"72,6 %",12,-
jegallardoga,cpintoarruza,"93,33 %","103,29","87,9 %",-,-,-,-,-,-,-,-,"0,88 %",-,"101,13 %",6,-
jegallardoga,dgonzalezmol,"111,1 %","80,2","87,06 %",-,-,-,-,-,-,-,-,0 %,-,"77,67 %",-,-
jegallardoga,ext_algalarc,"104,44 %","126,78","88,97 %",-,-,-,-,-,-,-,-,"0,59 %",0 %,"100,9 %",6,-
jegallardoga,ext_arieandr,"89,76 %","133,16","83,4 %",-,-,-,-,-,-,-,-,"0,62 %",-,"98,27 %",5,-
jegallardoga,ext_beangulo,"109,11 %","162,75","82,9 %",-,-,-,-,-,-,-,-,"1,6 %",-,"66,72 %",5,-
jegallardoga,ext_conarave,"84,76 %","119,52","79,25 %",-,-,-,-,-,-,-,-,"0,42 %",0 %,-,-,-
jegallardoga,ext_crmtorre,"88,7 %","112,97","84,88 %",-,-,-,-,-,-,-,-,"2,03 %",-,"96,79 %",15,-
jegallardoga,ext_fujavier,"97,13 %","124,77","82,77 %",-,-,-,-,-,-,-,-,"0,9 %",-,"86,41 %",5,-
jegallardoga,ext_hugvasqu,"113,39 %","125,13","88,05 %",-,-,-,-,-,-,-,-,"0,36 %",-,"102,33 %",7,-
jegallardoga,ext_jearriaz,"95,27 %","120,21","84,72 %",-,-,-,-,-,-,-,-,"1,22 %",-,"87,9 %",5,-
jegallardoga,ext_lucazamo,"94,58 %","115,07","88,82 %",-,-,-,-,-,-,-,-,"0,52 %",-,-,-,-
jegallardoga,ext_macasos,"100,28 %","109,79","87,43 %",-,-,-,-,-,-,-,-,"0,14 %",-,"99,2 %",5,-
jegallardoga,ext_maripeti,"87,77 %","116,26","81,64 %",-,-,-,-,-,-,-,-,"1,1 %",0 %,"90,21 %",7,-
jegallardoga,ext_moserna,"130,42 %","195,62","91,73 %",-,-,-,-,-,-,-,-,"0,9 %",-,"91,22 %",7,-
jegallardoga,ext_mucarla,"68,86 %","84,34","88,26 %",-,-,-,-,-,-,-,-,"0,35 %",0 %,"103,55 %",5,-
jegallardoga,ext_nanyespi,"94,9 %","116,58","89,09 %",-,-,-,-,-,-,-,-,"1,26 %",0 %,"102,63 %",6,-
jegallardoga,ext_osgandar,"113,95 %","180,55","87,45 %",-,-,-,-,-,-,-,-,"1,84 %",-,"97,42 %",6,-
jegallardoga,ext_riahumad,"84,41 %","110,66","82,42 %",-,-,-,-,-,-,-,-,"1,06 %",-,"98,78 %",7,-
jegallardoga,ext_sagalaz,"92,33 %","105,16","85,3 %",-,-,-,-,-,-,-,-,0 %,0 %,"98,08 %",7,-
jegallardoga,ext_scannais,"104,33 %","128,02",89 %,-,-,-,-,-,-,-,-,"1,12 %",-,"84,81 %",6,-
jegallardoga,ext_toralfre,"92,22 %","127,67","80,76 %",-,-,-,-,-,-,-,-,"0,42 %",-,"92,44 %",6,-
jegallardoga,fmartinmanci,"81,58 %","85,1","86,1 %",-,-,-,-,-,-,-,-,"0,36 %",0 %,"103,17 %",5,-
jegallardoga,fsepulvedami,"106,68 %","171,68","86,16 %",-,-,-,-,-,-,-,-,"0,71 %",-,"102,22 %",6,-
jegallardoga,halvarezaran,"113,97 %","123,6","89,59 %",-,-,-,-,-,-,-,-,"0,48 %",0 %,"101,12 %",6,-
jegallardoga,irodriguezdo,"91,58 %","123,94","82,45 %",-,-,-,-,-,-,-,-,"2,05 %",-,"100,26 %",6,-
jegallardoga,jniriancurih,"104,62 %","125,97","88,79 %",-,-,-,-,-,-,-,-,"0,47 %",-,"101,77 %",6,-
jegallardoga,kcollaolazza,"102,63 %","164,11","81,33 %",-,-,-,-,-,-,-,-,"1,23 %",-,"100,52 %",5,-
jegallardoga,mlouisor,"107,72 %","76,98","88,98 %",-,-,-,-,-,-,-,-,0 %,-,"64,12 %",5,-
jegallardoga,ngabelocamil,"86,99 %","101,2","83,56 %",-,-,-,-,-,-,-,-,"0,32 %",-,"99,01 %",6,-
jegallardoga,robarra,"114,93 %","78,98","90,97 %",-,-,-,-,-,-,-,-,0 %,0 %,"83,23 %",5,-
jegallardoga,rtorosanhuez,"82,49 %","123,2","83,31 %",-,-,-,-,-,-,-,-,"2,27 %",-,"86,66 %",8,-
jegallardoga,vhinostrozaz,"114,43 %","141,45","87,5 %",-,-,-,-,-,-,-,-,"0,16 %",0 %,"73,54 %",7,-
jegallardoga,vortegonbern,"115,67 %","78,98","91,59 %",-,-,-,-,-,-,-,-,0 %,-,"72,27 %",1,-
jegallardoga,yrojasfuente,"108,81 %","177,94","84,87 %",-,-,-,-,-,-,-,-,"1,06 %",-,"92,18 %",6,-
