Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,bmatoscastro,"95,64 %","133,77","82,53 %",-,-,-,-,-,-,-,-,"2,05 %",0 %,"89,42 %",8,-
jegallardoga,crojashidalg,"98,31 %","54,76","92,66 %",-,-,-,-,-,-,-,-,0 %,-,"69,54 %",9,30
jegallardoga,ext_arieandr,"102,43 %","130,09","85,89 %",-,-,-,-,-,-,-,-,"1,57 %",0 %,"101,33 %",5,9
jegallardoga,ext_crmtorre,"82,49 %","111,26","77,91 %",-,-,-,-,-,-,-,-,"0,28 %",0 %,"98,78 %",8,11
jegallardoga,ext_hugvasqu,"129,4 %","149,12","83,92 %",-,-,-,-,-,-,-,-,"0,09 %",0 %,-,6,0
jegallardoga,ext_jearriaz,"104,99 %","131,62","87,03 %",-,-,-,-,-,-,-,-,0 %,0 %,"96,12 %",5,10
jegallardoga,ext_nanyespi,"107,05 %","130,15","89,71 %",-,-,-,-,-,-,-,-,"1,19 %",-,-,5,0
jegallardoga,ext_sagalaz,"87,9 %","104,55","81,14 %",-,-,-,-,-,-,-,-,"0,7 %",-,"99,57 %",6,10
jegallardoga,irodriguezdo,"116,05 %","143,44","88,28 %",-,-,-,-,-,-,-,-,"0,73 %",0 %,"89,66 %",5,9
jegallardoga,jniriancurih,"115,06 %","177,45","90,47 %",-,-,-,-,-,-,-,-,"1,36 %",-,-,5,0
jegallardoga,kcollaolazza,"111,09 %","176,87","86,42 %",-,-,-,-,-,-,-,-,0 %,0 %,-,6,-
jegallardoga,mlouisor,"101,47 %","70,83","92,66 %",-,-,-,-,-,-,-,-,0 %,-,"75,67 %",9,24
jegallardoga,omezavilches,"118,41 %","181,99","90,76 %",-,-,-,-,-,-,-,-,"1,52 %",0 %,"99,41 %",5,11
jegallardoga,robarra,"85,57 %","61,86","88,05 %",-,-,-,-,-,-,-,-,0 %,-,-,6,0
jegallardoga,vhinostrozaz,"127,75 %","186,06","89,79 %",-,-,-,-,-,-,-,-,"3,4 %",-,"72,03 %",5,11
jegallardoga,yrojasfuente,"133,47 %","162,86","84,15 %",-,-,-,-,-,-,-,-,0 %,0 %,-,5,0
jegallardoga,mcasosdiaz,-,-,0 %,-,-,-,-,-,-,-,-,-,-,-,7,0
jegallardoga,rtorosanhuez,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"88,64 %",-,-
