Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"101,32 %","128,39","86,33 %",-,-,-,-,-,-,-,-,"0,94 %",-,"103,64 %",7,-
jegallardoga,apajaromerla,"113,61 %","145,5","85,11 %",-,-,-,-,-,-,-,-,"1,08 %",-,"100,66 %",6,-
jegallardoga,bmatoscastro,"121,46 %","158,87","84,46 %",-,-,-,-,-,-,-,-,"1,04 %",-,"96,57 %",7,-
jegallardoga,cpintoarruza,"100,21 %",132,"82,48 %",-,-,-,-,-,-,-,-,"0,37 %",-,"100,07 %",6,-
jegallardoga,dgonzalezmol,"129,76 %","98,66","84,38 %",-,-,-,-,-,-,-,-,0 %,-,"94,29 %",-,-
jegallardoga,ext_algalarc,"105,46 %","132,38","86,36 %",-,-,-,-,-,-,-,-,"1,15 %",-,"102,1 %",6,-
jegallardoga,ext_arieandr,"109,05 %","139,11","84,22 %",-,-,-,-,-,-,-,-,"1,99 %",-,"98,26 %",4,-
jegallardoga,ext_beangulo,"129,46 %","178,94","85,07 %",-,-,-,-,-,-,-,-,"1,08 %",-,"100,3 %",6,-
jegallardoga,ext_conarave,"103,38 %","136,18","82,56 %",-,-,-,-,-,-,-,-,"1,11 %",-,-,-,-
jegallardoga,ext_crmtorre,"96,21 %","129,47","79,96 %",-,-,-,-,-,-,-,-,"0,44 %",-,"89,72 %",7,-
jegallardoga,ext_fujavier,"108,43 %","169,44","84,31 %",-,-,-,-,-,-,-,-,"1,43 %",-,"98,96 %",5,-
jegallardoga,ext_hugvasqu,"117,88 %","128,76","87,61 %",-,-,-,-,-,-,-,-,"0,83 %",-,"104,6 %",9,-
jegallardoga,ext_jearriaz,"107,93 %","139,86","84,13 %",-,-,-,-,-,-,-,-,"1,03 %",-,"99,61 %",6,-
jegallardoga,ext_lucazamo,"99,25 %","130,7","83,29 %",-,-,-,-,-,-,-,-,"0,98 %",-,-,-,-
jegallardoga,ext_macasos,"128,29 %","189,95","88,96 %",-,-,-,-,-,-,-,-,"1,18 %",-,"96,84 %",6,-
jegallardoga,ext_nanyespi,"102,43 %","137,47","80,95 %",-,-,-,-,-,-,-,-,"0,83 %",-,"101,86 %",5,-
jegallardoga,ext_osgandar,"118,5 %","160,52","84,89 %",-,-,-,-,-,-,-,-,"2,09 %",-,"89,46 %",7,-
jegallardoga,ext_sagalaz,"130,23 %","136,93","89,99 %",-,-,-,-,-,-,-,-,"1,71 %",-,"89,5 %",10,-
jegallardoga,ext_toralfre,"106,45 %","175,19","82,56 %",-,-,-,-,-,-,-,-,"1,58 %",-,"100,35 %",9,-
jegallardoga,fmartinmanci,"94,18 %","116,35","88,1 %",-,-,-,-,-,-,-,-,"1,15 %",-,"102,81 %",7,-
jegallardoga,halvarezaran,"97,55 %","125,04","84,62 %",-,-,-,-,-,-,-,-,"0,88 %",-,101 %,7,-
jegallardoga,irodriguezdo,"109,27 %","134,31","88,07 %",-,-,-,-,-,-,-,-,"1,8 %",-,"88,64 %",5,-
jegallardoga,jniriancurih,"146,86 %","226,29","90,14 %",-,-,-,-,-,-,-,-,"0,07 %",-,"88,58 %",7,-
jegallardoga,kcollaolazza,"132,03 %","209,06","83,46 %",-,-,-,-,-,-,-,-,"1,75 %",-,97 %,6,-
jegallardoga,mlouisor,"118,97 %","90,96","81,89 %",-,-,-,-,-,-,-,-,0 %,-,"69,64 %",8,-
jegallardoga,ngabelocamil,"104,2 %","137,01","82,69 %",-,-,-,-,-,-,-,-,"0,24 %",-,"97,36 %",10,-
jegallardoga,pgalvez,"98,82 %","133,06","80,77 %",-,-,-,-,-,-,-,-,"0,13 %",-,"96,85 %",4,-
jegallardoga,robarra,"128,4 %","99,12","79,43 %",-,-,-,-,-,-,-,-,0 %,-,"99,01 %",10,-
jegallardoga,vhinostrozaz,139 %,"219,04","83,95 %",-,-,-,-,-,-,-,-,5 %,-,"87,12 %",7,-
jegallardoga,vortegonbern,"154,56 %","105,66","91,02 %",-,-,-,-,-,-,-,-,0 %,-,"85,75 %",9,-
jegallardoga,yrojasfuente,"119,09 %","178,66","82,49 %",-,-,-,-,-,-,-,-,"0,88 %",-,94 %,6,-
