Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"76,82 %","94,92","83,01 %",-,-,-,-,-,-,-,-,"0,43 %",0 %,"104,58 %",6,6
jegallardoga,apajaromerla,"78,29 %","143,69","75,02 %",-,-,-,-,-,-,-,-,"2,22 %",-,"95,03 %",8,14
jegallardoga,bmatoscastro,"108,11 %","141,28","85,84 %",-,-,-,-,-,-,-,-,"0,98 %",-,"100,03 %",6,10
jegallardoga,cpintoarruza,"91,26 %","107,5","86,92 %",-,-,-,-,-,-,-,-,"0,63 %",0 %,"100,72 %",6,10
jegallardoga,dgonzalezmol,"91,09 %","61,65","84,52 %",-,-,-,-,-,-,-,-,0 %,-,"84,84 %",-,34
jegallardoga,ext_algalarc,"105,47 %","166,31","87,14 %",-,-,-,-,-,-,-,-,"1,72 %",-,"99,63 %",8,14
jegallardoga,ext_arieandr,"86,56 %","115,12","85,6 %",-,-,-,-,-,-,-,-,"0,85 %",-,"98,82 %",2,12
jegallardoga,ext_beangulo,"121,9 %","200,5","91,07 %",-,-,-,-,-,-,-,-,"0,53 %",-,"85,7 %",4,18
jegallardoga,ext_conarave,"84,69 %","118,99","80,21 %",-,-,-,-,-,-,-,-,"0,65 %",-,-,-,-
jegallardoga,ext_crmtorre,"76,71 %","105,39","82,12 %",-,-,-,-,-,-,-,-,"0,84 %",-,"98,15 %",9,36
jegallardoga,ext_fujavier,"112,66 %","131,52","87,15 %",-,-,-,-,-,-,-,-,"1,52 %",-,"94,54 %",8,-
jegallardoga,ext_hugvasqu,"102,22 %","121,36","85,72 %",-,-,-,-,-,-,-,-,"0,91 %",-,"100,04 %",6,10
jegallardoga,ext_jearriaz,"77,94 %","111,88","79,47 %",-,-,-,-,-,-,-,-,"0,7 %",-,"94,54 %",3,19
jegallardoga,ext_lucazamo,"73,47 %","101,72","82,05 %",-,-,-,-,-,-,-,-,"1,58 %",-,-,-,-
jegallardoga,ext_macasos,"98,09 %","141,88","83,86 %",-,-,-,-,-,-,-,-,"0,6 %",-,"99,37 %",8,10
jegallardoga,ext_maripeti,"79,65 %","119,25","75,7 %",-,-,-,-,-,-,-,-,"0,76 %",0 %,"87,34 %",3,44
jegallardoga,ext_moserna,"113,91 %","195,01","86,58 %","112,46 %","212,51","87,22 %",-,-,-,-,-,"0,7 %",-,"95,73 %",5,11
jegallardoga,ext_mucarla,"76,19 %","98,02","88,63 %",-,-,-,-,-,-,-,-,"0,78 %",-,"104,18 %",5,10
jegallardoga,ext_nanyespi,"95,21 %","121,36","89,39 %",-,-,-,-,-,-,-,-,"1,8 %",-,"102,81 %",6,11
jegallardoga,ext_osgandar,"93,55 %","124,52","85,61 %",-,-,-,-,-,-,-,-,"1,02 %",-,"98,16 %",5,10
jegallardoga,ext_riahumad,"81,37 %","108,95","84,24 %",-,-,-,-,-,-,-,-,"0,25 %",0 %,"103,89 %",9,16
jegallardoga,ext_sagalaz,"87,97 %","106,14","84,34 %",-,-,-,-,-,-,-,-,"0,39 %",-,"100,78 %",7,10
jegallardoga,ext_scannais,"117,82 %","158,1","88,68 %",-,-,-,-,-,-,-,-,"0,24 %",-,"67,67 %",6,11
jegallardoga,ext_toralfre,"97,14 %","125,18","88,49 %",-,-,-,-,-,-,-,-,"1,07 %",-,"104,42 %",4,7
jegallardoga,fmartinmanci,"87,91 %","103,36","86,3 %",-,-,-,-,-,-,-,-,"0,68 %",-,98 %,6,14
jegallardoga,fsepulvedami,"101,47 %","126,82","84,91 %",-,-,-,-,-,-,-,-,"1,09 %",-,"101,62 %",6,10
jegallardoga,halvarezaran,"92,66 %","112,26","83,55 %",-,-,-,-,-,-,-,-,"0,53 %",-,"95,22 %",8,36
jegallardoga,irodriguezdo,"111,25 %",141,"88,78 %",-,-,-,-,-,-,-,-,"0,56 %",-,"98,52 %",5,17
jegallardoga,jniriancurih,"112,78 %","186,93","87,86 %",-,-,-,-,-,-,-,-,"0,15 %",-,"96,7 %",8,32
jegallardoga,kcollaolazza,"105,73 %","175,63","85,95 %",-,-,-,-,-,-,-,-,"1,07 %",0 %,"102,67 %",6,10
jegallardoga,mlouisor,"102,06 %","79,37","85,37 %",-,-,-,-,-,-,-,-,0 %,-,"59,79 %",5,-
jegallardoga,ngabelocamil,"89,06 %","110,3","81,73 %",-,-,-,-,-,-,-,-,"0,42 %",0 %,"93,18 %",7,37
jegallardoga,robarra,"119,87 %","87,6","89,14 %",-,-,-,-,-,-,-,-,0 %,-,"69,82 %",6,-
jegallardoga,rtorosanhuez,"75,31 %","97,88","80,48 %",-,-,-,-,-,-,-,-,"0,53 %",-,"28,18 %",7,-
jegallardoga,vhinostrozaz,"126,47 %","208,89","88,08 %",-,-,-,-,-,-,-,-,"3,02 %",-,"96,29 %",6,-
jegallardoga,vortegonbern,"117,67 %","90,71","84,13 %",-,-,-,-,-,-,-,-,0 %,-,"72,91 %",4,-
jegallardoga,yrojasfuente,"98,37 %","150,25","83,76 %",-,-,-,-,-,-,-,-,"1,77 %",-,"90,79 %",5,25
