Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,apajaromerla,"107,65 %","143,76","82,57 %",-,-,-,-,-,-,-,-,"0,3 %",-,"99,28 %",7,14
jegallardoga,bmatoscastro,"112,84 %","146,61","82,9 %",-,-,-,-,-,-,-,-,"0,5 %",-,"97,37 %",6,9
jegallardoga,crojashidalg,"137,97 %","95,22","92,52 %",-,-,-,-,-,-,-,-,0 %,-,"53,41 %",11,48
jegallardoga,dgonzalezmol,"112,21 %","86,61","83,28 %",-,-,-,-,-,-,-,-,0 %,-,"77,67 %",19,35
jegallardoga,ext_algalarc,"95,72 %","157,57","84,19 %",-,-,-,-,-,-,-,-,"3,16 %",0 %,"98,61 %",6,16
jegallardoga,ext_arieandr,"104,28 %","138,61","81,2 %",-,-,-,-,-,-,-,-,0 %,-,"100,44 %",8,9
jegallardoga,ext_crmtorre,"117,5 %","166,14","78,03 %",-,-,-,-,-,-,-,-,0 %,25 %,"102,18 %",9,14
jegallardoga,ext_jearriaz,"97,25 %","129,92","83,35 %",-,-,-,-,-,-,-,-,"1,46 %",-,"97,56 %",7,11
jegallardoga,fsepulvedami,"104,48 %","143,74","81,16 %",-,-,-,-,-,-,-,-,"1,12 %",0 %,-,-,0
jegallardoga,irodriguezdo,"120,66 %","161,26","82,25 %",-,-,-,-,-,-,-,-,0 %,-,"98,31 %",8,10
jegallardoga,mlouisor,"101,42 %","76,26","85,92 %",-,-,-,-,-,-,-,-,0 %,-,"50,94 %",3,51
jegallardoga,omezavilches,"109,79 %","145,73","83,15 %",-,-,-,-,-,-,-,-,"0,91 %",-,"85,99 %",6,13
jegallardoga,rtorosanhuez,"146,65 %","229,46","88,76 %",-,-,-,-,-,-,-,-,0 %,-,"25,13 %",9,-
