Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"99,89 %","124,95",88 %,-,-,-,-,-,-,-,-,0 %,-,"96,14 %",36,-
jegallardoga,apajaromerla,"98,21 %","137,69","85,04 %",-,-,-,-,-,-,-,-,0 %,-,"103,26 %",1,-
jegallardoga,aschmidtfern,"116,27 %","134,6","88,19 %",-,-,-,-,-,-,-,-,"0,12 %",-,"69,7 %",6,-
jegallardoga,bmatoscastro,"111,85 %","130,92","92,3 %",-,-,-,-,-,-,-,-,"0,11 %",-,105 %,9,-
jegallardoga,cpintoarruza,"100,85 %","132,24","83,65 %",-,-,-,-,-,-,-,-,"0,24 %",-,"101,9 %",11,-
jegallardoga,crojashidalg,"98,95 %","67,65","90,91 %",-,-,-,-,-,-,-,-,0 %,-,"84,81 %",6,-
jegallardoga,dgonzalezmol,"94,54 %","52,82","91,06 %",-,-,-,-,-,-,-,-,0 %,-,"95,32 %",-,-
jegallardoga,ext_arieandr,"113,23 %","138,39","88,24 %",-,-,-,-,-,-,-,-,"0,59 %",-,"93,85 %",30,-
jegallardoga,ext_beangulo,"102,45 %","156,29","84,96 %",-,-,-,-,-,-,-,-,"1,52 %",-,"80,16 %",1,-
jegallardoga,ext_criarria,"71,67 %","108,96","81,45 %",-,-,-,-,-,-,-,-,"0,21 %",-,"73,84 %",-,-
jegallardoga,ext_crmtorre,"106,33 %","131,98","87,03 %",-,-,-,-,-,-,-,-,"0,11 %",-,"103,15 %",0,-
jegallardoga,ext_iaaranda,"65,36 %","77,99","75,96 %",-,-,-,-,-,-,-,-,"0,29 %",-,"76,99 %",-,-
jegallardoga,ext_jearriaz,"110,6 %","148,86","88,25 %",-,-,-,-,-,-,-,-,0 %,-,"100,36 %",0,-
jegallardoga,ext_jheespin,"56,6 %","66,34","75,74 %",-,-,-,-,-,-,-,-,"0,69 %",-,"75,88 %",-,-
jegallardoga,ext_maagullo,"76,59 %","114,63","82,74 %",-,-,-,-,-,-,-,-,"2,3 %",-,"74,21 %",-,-
jegallardoga,ext_nicoyarz,"65,57 %","80,34","79,05 %",-,-,-,-,-,-,-,-,"2,65 %",-,-,-,-
jegallardoga,ext_toralfre,"118,1 %","183,33","88,13 %",-,-,-,-,-,-,-,-,"7,51 %",-,"100,01 %",6,-
jegallardoga,ext_valesper,"28,61 %","55,15","50,54 %",-,-,-,-,-,-,-,-,"3,9 %",-,"73,18 %",-,-
jegallardoga,fmartinmanci,109 %,"147,78","83,28 %",-,-,-,-,-,-,-,-,0 %,-,"100,68 %",7,-
jegallardoga,fsepulvedami,"137,38 %","146,33","88,8 %",-,-,-,-,-,-,-,-,"0,68 %",-,"96,72 %",3,-
jegallardoga,halvarezaran,"101,63 %","129,95","86,58 %",-,-,-,-,-,-,-,-,"1,5 %",-,"103,65 %",2,-
jegallardoga,irodriguezdo,"106,25 %","127,49","90,13 %",-,-,-,-,-,-,-,-,"0,37 %",-,"94,92 %",1,-
jegallardoga,jniriancurih,"103,28 %","138,29","87,48 %",-,-,-,-,-,-,-,-,"0,24 %",-,"91,05 %",1,-
jegallardoga,kcollaolazza,"125,17 %","186,23","91,48 %",-,-,-,-,-,-,-,-,"0,6 %",-,"91,88 %",1,-
jegallardoga,mcasosdiaz,"113,26 %","144,42","91,03 %",-,-,-,-,-,-,-,-,"0,1 %",-,"97,94 %",5,-
jegallardoga,mlouisor,"92,31 %","67,15","88,38 %",-,-,-,-,-,-,-,-,0 %,-,"70,89 %",7,-
jegallardoga,ngabelocamil,"92,5 %","124,74","85,34 %",-,-,-,-,-,-,-,-,"1,41 %",-,"98,77 %",4,-
jegallardoga,ogandarillas,"96,44 %","148,01","85,11 %",-,-,-,-,-,-,-,-,"0,11 %",-,96 %,7,-
jegallardoga,omezavilches,"105,03 %","152,17","79,17 %",-,-,-,-,-,-,-,-,"1,9 %",-,"84,84 %",1,-
jegallardoga,pgalvez,"101,46 %","123,9","88,58 %",-,-,-,-,-,-,-,-,"0,13 %",-,"97,34 %",2,-
jegallardoga,robarra,"99,19 %","68,57","90,29 %",-,-,-,-,-,-,-,-,0 %,-,"61,37 %",5,-
jegallardoga,rtorosanhuez,"105,19 %","168,28","86,68 %",-,-,-,-,-,-,-,-,"0,47 %",-,"98,43 %",5,-
jegallardoga,vhinostrozaz,"134,38 %","215,44","85,82 %",-,-,-,-,-,-,-,-,"1,43 %",-,"72,78 %",5,-
jegallardoga,vortegonbern,"94,84 %","67,02","88,24 %",-,-,-,-,-,-,-,-,0 %,-,"79,71 %",3,-
jegallardoga,yrojasfuente,"110,73 %","153,27","76,07 %",-,-,-,-,-,-,-,-,"0,85 %",-,"94,93 %",5,51
jegallardoga,ext_sagalaz,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"99,2 %",6,10
