Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"97,24 %","109,35","84,08 %",-,-,-,-,-,-,-,-,"0,32 %",0 %,"90,33 %",-,-
jegallardoga,apajaromerla,"97,24 %","122,67",88 %,-,-,-,-,-,-,-,-,"0,36 %",-,"102,48 %",4,-
jegallardoga,bmatoscastro,"88,25 %","132,07","79,05 %",-,-,-,-,-,-,-,-,"2,59 %",0 %,"69,71 %",8,-
jegallardoga,cpintoarruza,"87,14 %","100,69","81,41 %",-,-,-,-,-,-,-,-,"0,32 %",0 %,"102,82 %",5,-
jegallardoga,dgonzalezmol,"90,45 %","82,34","84,23 %",-,-,-,-,-,-,-,-,0 %,0 %,"80,72 %",-,-
jegallardoga,ext_algalarc,"111,62 %","167,45","83,59 %",-,-,-,-,-,-,-,-,"3,56 %",0 %,"94,21 %",16,-
jegallardoga,ext_arieandr,"100,85 %","126,86","88,23 %",-,-,-,-,-,-,-,-,"0,86 %",-,"97,81 %",10,-
jegallardoga,ext_beangulo,"117,28 %","157,15","83,95 %",-,-,-,-,-,-,-,-,"0,96 %",-,"97,06 %",14,-
jegallardoga,ext_conarave,"98,15 %","119,27","82,96 %",-,-,-,-,-,-,-,-,"2,09 %",0 %,-,-,-
jegallardoga,ext_crmtorre,"102,26 %","120,6","85,42 %",-,-,-,-,-,-,-,-,"0,91 %",0 %,"100,71 %",13,-
jegallardoga,ext_fujavier,"97,7 %",172,"82,88 %",-,-,-,-,-,-,-,-,"1,57 %","33,33 %","96,35 %",5,-
jegallardoga,ext_hugvasqu,"106,23 %","122,91","87,13 %",-,-,-,-,-,-,-,-,"0,98 %",0 %,103 %,14,-
jegallardoga,ext_jearriaz,"95,47 %","111,78","86,05 %",-,-,-,-,-,-,-,-,"1,15 %",0 %,"97,47 %",15,-
jegallardoga,ext_lucazamo,"93,39 %","115,36","81,65 %",-,-,-,-,-,-,-,-,"0,73 %",0 %,-,-,-
jegallardoga,ext_macasos,"98,6 %","166,87","86,06 %",-,-,-,-,-,-,-,-,"0,79 %",100 %,"95,23 %",4,-
jegallardoga,ext_maripeti,"102,57 %","122,21","84,58 %",-,-,-,-,-,-,-,-,"1,03 %",0 %,"101,36 %",15,-
jegallardoga,ext_moserna,"122,1 %","146,52","83,27 %","105,37 %","347,76","75,36 %",-,-,-,-,-,"0,35 %",0 %,"74,98 %",15,-
jegallardoga,ext_mucarla,"82,25 %","99,15","83,63 %",-,-,-,-,-,-,-,-,"1,4 %",-,"103,73 %",14,-
jegallardoga,ext_nanyespi,"100,27 %","158,19","86,88 %",-,-,-,-,-,-,-,-,"4,59 %","33,33 %","100,02 %",4,-
jegallardoga,ext_osgandar,"99,3 %","140,31","86,47 %",-,-,-,-,-,-,-,-,"3,19 %","33,33 %","97,58 %",8,-
jegallardoga,ext_sagalaz,"101,17 %","117,83","86,55 %",-,-,-,-,-,-,-,-,"0,65 %",0 %,"101,23 %",16,-
jegallardoga,ext_scannais,"118,59 %","147,78","89,72 %",-,-,-,-,-,-,-,-,"1,36 %",0 %,"96,56 %",14,-
jegallardoga,ext_toralfre,"107,24 %","153,48","86,07 %",-,-,-,-,-,-,-,-,"1,48 %",0 %,"102,67 %",3,-
jegallardoga,fmartinmanci,"83,88 %","97,29","82,1 %",-,-,-,-,-,-,-,-,"0,33 %",0 %,"103,47 %",5,-
jegallardoga,fsepulvedami,"115,44 %",147,"87,95 %",-,-,-,-,-,-,-,-,"1,45 %",-,"100,71 %",5,-
jegallardoga,halvarezaran,"92,53 %","103,5","84,56 %",-,-,-,-,-,-,-,-,"0,87 %",0 %,"88,11 %",-,-
jegallardoga,irodriguezdo,"111,48 %","136,1","91,76 %",-,-,-,-,-,-,-,-,"2,2 %",0 %,"103,19 %",4,-
jegallardoga,jniriancurih,"102,03 %","180,41","84,95 %",-,-,-,-,-,-,-,-,"4,26 %",100 %,"39,1 %",4,-
jegallardoga,kcollaolazza,"106,53 %","139,96","83,7 %",-,-,-,-,-,-,-,-,"0,67 %",-,"96,42 %",14,-
jegallardoga,mlouisor,"98,07 %","76,33","84,2 %",-,-,-,-,-,-,-,-,0 %,-,77 %,5,-
jegallardoga,ngabelocamil,"103,22 %","114,56","85,12 %",-,-,-,-,-,-,-,-,"0,81 %",100 %,"85,73 %",-,-
jegallardoga,omezavilches,"113,07 %","170,35","87,56 %",-,-,-,-,-,-,-,-,"3,53 %",0 %,"101,81 %",14,-
jegallardoga,robarra,"100,76 %","80,71","86,25 %",-,-,-,-,-,-,-,-,0 %,0 %,"94,52 %",5,-
jegallardoga,rtorosanhuez,"91,54 %","151,95","78,36 %","70,39 %","259,45","67,49 %",-,-,-,-,-,"1,98 %",0 %,"87,03 %",6,-
jegallardoga,vhinostrozaz,"122,19 %","204,6","87,09 %",-,-,-,-,-,-,-,-,"2,24 %",-,"87,09 %",4,-
jegallardoga,vortegonbern,"120,46 %","91,17","92,7 %",-,-,-,-,-,-,-,-,0 %,-,"55,45 %",3,-
jegallardoga,yrojasfuente,"110,99 %","138,77","81,07 %",-,-,-,-,-,-,-,-,"0,51 %",-,"62,5 %",15,-
