Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,apajaromerla,"113,93 %","145,18","83,44 %",-,-,-,-,-,-,-,-,0 %,0 %,"101,15 %",3,-
jegallardoga,aschmidtfern,"113,41 %","145,74","85,35 %",-,-,-,-,-,-,-,-,"1,78 %",-,"60,43 %",6,-
jegallardoga,bmatoscastro,"139,14 %","169,28","89,92 %",-,-,-,-,-,-,-,-,0 %,-,"102,28 %",3,-
jegallardoga,crojashidalg,"97,01 %","66,76","90,08 %",-,-,-,-,-,-,-,-,0 %,-,"78,48 %",15,-
jegallardoga,dgonzalezmol,"118,25 %","79,8","91,44 %",-,-,-,-,-,-,-,-,0 %,-,"95,97 %",-,-
jegallardoga,ext_ailynrod,"86,52 %","71,4","81,13 %",-,-,-,-,-,-,-,-,"0,52 %",0 %,"89,15 %",-,-
jegallardoga,ext_arieandr,"108,82 %","132,51","86,92 %",-,-,-,-,-,-,-,-,"1,18 %",0 %,"89,43 %",3,-
jegallardoga,ext_beavello,"80,45 %","100,81","83,37 %",-,-,-,-,-,-,-,-,"3,88 %",-,"86,73 %",-,-
jegallardoga,ext_carmefig,"74,4 %","97,34","78,92 %",-,-,-,-,-,-,-,-,"2,61 %",-,"80,73 %",-,-
jegallardoga,ext_conrocha,"115,85 %","90,94","79,6 %",-,-,-,-,-,-,-,-,0 %,-,"86,97 %",-,-
jegallardoga,ext_consaez,"86,08 %","68,49","81,19 %",-,-,-,-,-,-,-,-,"1,78 %",-,"81,93 %",-,-
jegallardoga,ext_criarria,"98,09 %","125,62","81,68 %",-,-,-,-,-,-,-,-,"1,07 %",-,"97,4 %",0,-
jegallardoga,ext_crmtorre,"106,35 %","141,09","81,48 %",-,-,-,-,-,-,-,-,"0,81 %",-,"100,82 %",8,-
jegallardoga,ext_crsaldia,"87,64 %","121,78","79,66 %",-,-,-,-,-,-,-,-,"2,2 %",-,"94,72 %",-,4
jegallardoga,ext_fujavier,"96,54 %","150,03","85,48 %",-,-,-,-,-,-,-,-,"4,8 %",0 %,"96,29 %",4,-
jegallardoga,ext_hugvasqu,"95,41 %","119,71","81,91 %",-,-,-,-,-,-,-,-,"1,24 %",0 %,"99,96 %",4,-
jegallardoga,ext_iaaranda,"84,05 %","92,06","78,55 %",-,-,-,-,-,-,-,-,"1,57 %",-,"93,5 %",7,-
jegallardoga,ext_jearriaz,"103,42 %","147,25","87,26 %",-,-,-,-,-,-,-,-,"3,9 %",-,"68,61 %",3,-
jegallardoga,ext_jheespin,"64,9 %","77,53","79,67 %",-,-,-,-,-,-,-,-,"1,22 %",-,"87,48 %",4,-
jegallardoga,ext_maagullo,"83,66 %","97,63","81,86 %",-,-,-,-,-,-,-,-,"0,98 %",-,"102,58 %",4,-
jegallardoga,ext_nanyespi,"126,18 %","155,84","86,95 %",-,-,-,-,-,-,-,-,0 %,-,"101,34 %",3,-
jegallardoga,ext_pocornej,"81,89 %","87,99","72,77 %",-,-,-,-,-,-,-,-,"2,7 %",-,"85,9 %",-,-
jegallardoga,ext_sagalaz,"89,42 %","117,97","81,48 %",-,-,-,-,-,-,-,-,"1,92 %",-,"101,12 %",6,-
jegallardoga,ext_sebastfa,"114,29 %","91,57","81,06 %",-,-,-,-,-,-,-,-,"1,75 %",-,"91,79 %",-,-
jegallardoga,ext_solcabez,"64,63 %","100,18","77,99 %",-,-,-,-,-,-,-,-,"3,33 %",-,"83,15 %",-,-
jegallardoga,ext_toralfre,"101,93 %","157,66","84,25 %",-,-,-,-,-,-,-,-,"1,76 %",0 %,"101,21 %",4,59
jegallardoga,fsepulvedami,"108,12 %","158,53","70,39 %",-,-,-,-,-,-,-,-,0 %,-,"97,38 %",7,-
jegallardoga,halvarezaran,"90,66 %","140,65","86,64 %",-,-,-,-,-,-,-,-,"2,05 %",0 %,"102,33 %",7,-
jegallardoga,irodriguezdo,"117,95 %","160,75","81,96 %",-,-,-,-,-,-,-,-,"0,63 %",-,"97,83 %",5,-
jegallardoga,jniriancurih,"124,35 %","197,08","85,18 %",-,-,-,-,-,-,-,-,0 %,0 %,"89,61 %",3,-
jegallardoga,kcollaolazza,"117,65 %","199,83","82,81 %",-,-,-,"103,6 %","408,66","78,13 %",-,-,"0,5 %",-,"82,93 %",7,-
jegallardoga,mcasosdiaz,"119,21 %","146,81","87,76 %",-,-,-,-,-,-,-,-,0 %,-,"93,03 %",3,-
jegallardoga,mlouisor,"82,94 %","57,44","90,88 %",-,-,-,-,-,-,-,-,0 %,-,"79,56 %",6,-
jegallardoga,ogandarillas,"127,58 %","197,48","88,92 %",-,-,-,-,-,-,-,-,0 %,0 %,81 %,5,-
jegallardoga,omezavilches,"111,77 %","173,1","87,75 %",-,-,-,-,-,-,-,-,"1,85 %",0 %,"101,6 %",2,-
jegallardoga,pgalvez,"104,16 %","134,39","87,79 %",-,-,-,-,-,-,-,-,"2,11 %",0 %,"97,7 %",2,-
jegallardoga,robarra,"86,8 %","56,06","89,98 %",-,-,-,-,-,-,-,-,0 %,-,"94,92 %",9,-
jegallardoga,vhinostrozaz,"128,89 %","201,39","89,35 %",-,-,-,-,-,-,-,-,"0,11 %",0 %,"89,45 %",8,-
jegallardoga,vortegonbern,"102,84 %","69,4","92,76 %",-,-,-,-,-,-,-,-,0 %,-,"89,63 %",4,-
jegallardoga,yrojasfuente,"122,58 %","172,65","81,14 %",-,-,-,-,-,-,"127,59 %",-,"0,88 %",-,"85,5 %",8,-
jegallardoga,ajarasanchez,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"103,42 %",5,-
jegallardoga,cpintoarruza,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"102,73 %",6,8
jegallardoga,fmartinmanci,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"103,07 %",6,10
jegallardoga,ngabelocamil,-,-,0 %,-,-,-,-,-,-,-,-,-,-,103 %,5,-
jegallardoga,rtorosanhuez,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"0,41 %",-,-
