Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"94,3 %","117,01","76,22 %",-,-,-,-,-,-,-,-,0 %,-,"76,12 %",5,-
jegallardoga,aschmidtfern,"134,04 %","168,92","89,39 %",-,-,-,-,-,-,-,-,0 %,-,"47,18 %",9,23
jegallardoga,bmatoscastro,"89,2 %","122,39","84,55 %",-,-,-,-,-,-,-,-,"1,98 %",-,"69,56 %",21,9
jegallardoga,dgonzalezmol,"99,53 %","86,53","82,45 %",-,-,-,-,-,-,-,-,0 %,-,"53,01 %",-,-
jegallardoga,ext_agquezad,"93,16 %","83,73","72,68 %",-,-,-,-,-,-,-,-,"2,65 %",-,"88,24 %",-,23
jegallardoga,ext_ailynrod,"56,87 %","64,11","63,61 %",-,-,-,-,-,-,-,-,"2,5 %",-,"69,9 %",-,-
jegallardoga,ext_arieandr,"94,11 %","122,39","82,16 %",-,-,-,-,-,-,-,-,0 %,-,"31,59 %",6,-
jegallardoga,ext_beavello,"74,93 %","86,9","70,85 %",-,-,-,-,-,-,-,-,"0,46 %",0 %,"83,17 %",-,10
jegallardoga,ext_carmefig,"81,52 %","73,92","70,16 %",-,-,-,-,-,-,-,-,"0,33 %",-,"69,64 %",-,11
jegallardoga,ext_conrocha,"60,88 %","79,75","68,04 %",-,-,-,-,-,-,-,-,"1,95 %",-,"89,76 %",-,15
jegallardoga,ext_consaez,"54,86 %","79,21","67,95 %",-,-,-,-,-,-,-,-,"0,84 %",-,"78,79 %",-,18
jegallardoga,ext_criarria,"102,26 %","140,56","80,08 %",-,-,-,-,-,-,-,-,"1,99 %",-,"68,82 %",50,-
jegallardoga,ext_crmtorre,"110,06 %","149,93","77,48 %",-,-,-,-,-,-,-,-,0 %,-,"73,69 %",5,-
jegallardoga,ext_crsaldia,"104,15 %","95,01","71,29 %",-,-,-,-,-,-,-,-,"0,45 %",0 %,"78,39 %",-,18
jegallardoga,ext_fujavier,"101,45 %","166,8","83,81 %",-,-,-,-,-,-,-,-,0 %,0 %,"70,26 %",4,-
jegallardoga,ext_hugvasqu,"105,69 %","135,5","86,47 %",-,-,-,-,-,-,-,-,0 %,-,"72,39 %",8,15
jegallardoga,ext_iaaranda,"68,73 %","87,19","71,62 %",-,-,-,-,-,-,-,-,"3,41 %",-,"60,37 %",11,-
jegallardoga,ext_jearriaz,"104,98 %","139,73","81,46 %",-,-,-,-,-,-,-,-,0 %,-,"31,6 %",3,-
jegallardoga,ext_jheespin,"56,64 %","84,58","73,45 %",-,-,-,-,-,-,-,-,"5,64 %",-,"87,06 %",35,-
jegallardoga,ext_maagullo,"77,56 %","92,69","79,86 %",-,-,-,-,-,-,-,-,"3,39 %",-,"80,42 %",9,-
