Team_Leader,Reps,GAP_Picking,PEF_Picking,UT_Picking,GAP_Packing,PEF_Packing,UTI_Packing,GAP_Wallin,PEF_Wallin,UTI_Wallin,GAP_Sorting,GAP_HU,RR,SAF,AT,FS,SF
jegallardoga,ajarasanchez,"86,22 %","94,99","85,75 %",-,-,-,-,-,-,-,-,"0,47 %",-,"105,27 %",7,-
jegallardoga,apajaromerla,"111,58 %","168,39","91,18 %",-,-,-,-,-,-,-,-,"4,02 %",-,"102,31 %",10,9
jegallardoga,bmatoscastro,"97,11 %","148,6","88,42 %",-,-,-,-,-,-,-,-,"1,15 %",-,"98,15 %",8,-
jegallardoga,cpintoarruza,"93,97 %","106,09","87,44 %",-,-,-,-,-,-,-,-,"0,86 %",-,"100,88 %",8,-
jegallardoga,dgonzalezmol,"99,6 %","66,64","92,86 %",-,-,-,-,-,-,-,-,0 %,-,"83,28 %",-,-
jegallardoga,ext_algalarc,106 %,"130,86","87,72 %",-,-,-,-,-,-,-,-,"2,32 %",0 %,"101,13 %",12,-
jegallardoga,ext_arieandr,"98,17 %","121,8","87,6 %",-,-,-,-,-,-,-,-,"1,8 %",-,"98,14 %",8,-
jegallardoga,ext_beangulo,"116,57 %","182,27","88,76 %",-,-,-,-,-,-,-,-,"2,11 %",0 %,"104,06 %",7,-
jegallardoga,ext_conarave,"89,98 %","114,14","86,52 %",-,-,-,-,-,-,-,-,"0,7 %",-,-,-,-
jegallardoga,ext_crmtorre,"90,05 %","114,02","85,56 %",-,-,-,-,-,-,-,-,0 %,0 %,101 %,8,-
jegallardoga,ext_hugvasqu,"105,89 %","123,49","92,57 %",-,-,-,-,-,-,-,-,"1,38 %",0 %,"102,22 %",7,-
jegallardoga,ext_jearriaz,"90,52 %","115,66","85,25 %",-,-,-,-,-,-,-,-,"0,28 %",-,"98,01 %",8,-
jegallardoga,ext_lucazamo,"91,78 %",117,"84,96 %",-,-,-,-,-,-,-,-,"0,13 %",0 %,-,-,-
jegallardoga,ext_macasos,"108,87 %","162,68","86,19 %",-,-,-,-,-,-,-,-,"1,15 %",-,"99,99 %",8,-
jegallardoga,ext_maripeti,"86,08 %","114,06","81,7 %",-,-,-,-,-,-,-,-,0 %,-,"99,08 %",8,-
jegallardoga,ext_moserna,"103,58 %","173,23","83,63 %","125,34 %","227,2","88,35 %",-,-,-,-,-,"0,36 %",-,"91,42 %",7,-
jegallardoga,ext_mucarla,"82,83 %","101,74","89,29 %",-,-,-,-,-,-,-,-,"0,15 %",-,"101,61 %",7,-
jegallardoga,ext_nanyespi,"118,32 %","183,42","89,46 %",-,-,-,-,-,-,-,-,"1,72 %",0 %,"104,54 %",9,-
jegallardoga,ext_osgandar,"105,07 %","128,72","88,23 %",-,-,-,-,-,-,-,-,"0,6 %",-,"98,61 %",7,-
jegallardoga,ext_riahumad,"85,08 %","113,45","81,98 %",-,-,-,-,-,-,-,-,"0,72 %",-,"99,45 %",6,-
jegallardoga,ext_sagalaz,"91,08 %","107,94","91,12 %",-,-,-,-,-,-,-,-,"0,55 %",-,"99,93 %",10,-
jegallardoga,ext_scannais,"140,74 %","205,44","94,26 %",-,-,-,-,-,-,-,-,0 %,-,"93,85 %",9,25
jegallardoga,ext_toralfre,"108,49 %","170,95","88,07 %",-,-,-,-,-,-,-,-,"2,51 %",-,"102,72 %",8,-
jegallardoga,fmartinmanci,"84,64 %","95,32","85,66 %",-,-,-,-,-,-,-,-,"0,98 %",-,"100,75 %",15,-
jegallardoga,fsepulvedami,"112,23 %","171,86","85,87 %",-,-,-,-,-,-,-,-,"0,89 %",-,"102,82 %",7,-
jegallardoga,halvarezaran,"88,45 %","103,58","84,17 %",-,-,-,-,-,-,-,-,"0,16 %",-,"98,92 %",8,-
jegallardoga,irodriguezdo,"107,87 %","170,81","86,3 %",-,-,-,-,-,-,-,-,"3,87 %",-,"101,65 %",6,-
jegallardoga,jniriancurih,"104,53 %","168,85","87,29 %",-,-,-,-,-,-,-,-,"0,26 %",-,"103,88 %",10,-
jegallardoga,kcollaolazza,"108,68 %","161,19","82,54 %",-,-,-,-,-,-,-,-,"1,32 %",-,"101,37 %",7,-
jegallardoga,mlouisor,"90,93 %","66,14","87,62 %",-,-,-,-,-,-,-,-,0 %,-,"81,2 %",8,-
jegallardoga,ngabelocamil,"100,32 %","114,41","85,51 %",-,-,-,-,-,-,-,-,"0,27 %",-,"100,13 %",8,-
jegallardoga,robarra,"94,18 %","64,54","91,23 %",-,-,-,-,-,-,-,-,0 %,-,"96,13 %",5,-
jegallardoga,rtorosanhuez,"83,78 %","153,89","74,91 %",-,-,-,-,-,-,-,-,"0,82 %",-,"89,52 %",7,7
jegallardoga,vhinostrozaz,"126,38 %","164,29","86,68 %",-,-,-,-,-,-,-,-,"1,48 %",-,"94,81 %",7,-
jegallardoga,vortegonbern,"106,01 %","74,93","87,3 %",-,-,-,-,-,-,-,-,0 %,-,"64,66 %",6,-
jegallardoga,yrojasfuente,"109,42 %","172,2","84,2 %",-,-,-,-,-,-,-,-,"2,43 %",0 %,"91,9 %",9,-
jegallardoga,ext_fujavier,-,-,0 %,-,-,-,-,-,-,-,-,-,-,"99,71 %",5,20
